Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4017,0.4203,0.436,0.2779,0.4162,
,2,0.3469,0.3605,0.3705,0.2431,0.3515,
,3,0.3031,0.3107,0.3088,0.2232,0.3126,
Feb,4,0.2725,0.2764,0.263,0.22,0.2904,
,5,0.2552,0.2572,0.2372,0.2284,0.2777,
,6,0.2487,0.2515,0.2292,0.2368,0.2741,
Mar,7,0.249,0.2524,0.2359,0.2469,0.276,
,8,0.2611,0.2626,0.2472,0.2571,0.2982,
,9,0.2845,0.2847,0.2567,0.2671,0.3325,
Apr,10,0.3142,0.3246,0.2688,0.2779,0.3895,
,11,0.3495,0.3793,0.2893,0.2889,0.4512,
,12,0.3881,0.4397,0.3321,0.2993,0.4956,
May,13,0.437,0.4936,0.3919,0.3715,0.5318,
,14,0.5039,0.5398,0.4509,0.4374,0.5725,
,15,0.5814,0.5812,0.4942,0.499,0.6201,
Jun,16,0.6429,0.6197,0.5137,0.5468,0.6579,
,17,0.6767,0.6559,0.5153,0.5756,0.6865,
,18,0.6908,0.6777,0.525,0.5905,0.7033,
Jul,19,0.6893,0.6784,0.5657,0.6092,0.7148,
,20,0.6741,0.6696,0.6239,0.6476,0.7183,
,21,0.6575,0.6634,0.6835,0.6947,0.7132,
Aug,22,0.6543,0.654,0.7111,0.7219,0.7027,
,23,0.6682,0.6454,0.7149,0.7243,0.6889,
,24,0.6969,0.6294,0.6904,0.7132,0.6874,
Sep,25,0.7172,0.6147,0.6598,0.6958,0.6817,
,26,0.7238,0.6063,0.6318,0.6799,0.69,
,27,0.7157,0.6072,0.6158,0.6754,,
Oct,28,0.7051,0.6095,0.6127,0.6759,,
,29,0.6908,0.6083,0.6071,0.6758,,
,30,0.6807,0.6035,0.5837,0.6734,,
Nov,31,0.6663,0.6005,0.5421,0.6619,,
,32,0.6448,0.5991,0.4936,0.6454,,
,33,0.6164,0.5938,0.4469,0.6229,,
Dec,34,0.5799,0.5795,0.4068,0.5975,,
,35,0.5348,0.5489,0.3687,0.5523,,
,36,0.4807,0.4992,0.3237,0.4888,
