Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5079,0.508,0.4521,0.307,0.4388,
,2,0.4557,0.4525,0.387,0.2704,0.3809,
,3,0.4061,0.3983,0.3267,0.2527,0.3454,
Feb,4,0.3642,0.3525,0.2812,0.2518,0.322,
,5,0.329,0.3163,0.2624,0.2598,0.3097,
,6,0.3073,0.2953,0.2621,0.2615,0.3035,
Mar,7,0.3065,0.2894,0.2768,0.2615,0.3018,
,8,0.3184,0.3059,0.294,0.2572,0.3247,
,9,0.3515,0.3398,0.3104,0.262,0.3596,
Apr,10,0.4154,0.3848,0.3238,0.2733,0.4125,
,11,0.4978,0.4327,0.3479,0.2915,0.4683,
,12,0.587,0.483,0.3884,0.3116,0.5166,
May,13,0.6785,0.5368,0.4539,0.46,0.5617,
,14,0.7346,0.5981,0.526,0.5802,0.6283,
,15,0.7681,0.6629,0.607,0.6799,0.703,
Jun,16,0.7791,0.716,0.6595,0.7354,0.7464,
,17,0.7711,0.7556,0.6923,0.7529,0.7659,
,18,0.7531,0.7771,0.7017,0.7524,0.7742,
Jul,19,0.7347,0.7832,0.7228,0.7506,0.7885,
,20,0.7095,0.7859,0.7461,0.7668,0.7938,
,21,0.6954,0.7895,0.7828,0.7875,0.7915,
Aug,22,0.6961,0.7855,0.7966,0.7937,0.7806,
,23,0.7132,0.7787,0.7957,0.7893,0.7664,
,24,0.7417,0.7693,0.7818,0.7845,0.7657,
Sep,25,0.7568,0.757,0.7734,0.782,0.7597,
,26,0.7523,0.7426,0.7683,0.7723,0.7691,
,27,0.7418,0.7242,0.76,0.7597,,
Oct,28,0.7318,0.7036,0.7479,0.747,,
,29,0.721,0.6812,0.7292,0.7358,,
,30,0.7116,0.6601,0.6979,0.7228,,
Nov,31,0.6994,0.641,0.6568,0.7021,,
,32,0.6803,0.6228,0.6035,0.6748,,
,33,0.6588,0.6034,0.5409,0.643,,
Dec,34,0.6335,0.581,0.478,0.6107,,
,35,0.6011,0.553,0.4185,0.5656,,
,36,0.5592,0.5101,0.3594,0.5078,
