Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5059,0.5164,0.4267,0.4213,0.4675,
,2,0.4743,0.4773,0.3985,0.4001,0.4328,
,3,0.4495,0.4442,0.3781,0.3814,0.4084,
Feb,4,0.4288,0.4157,0.3628,0.3662,0.3904,
,5,0.4154,0.3919,0.3484,0.3535,0.3815,
,6,0.4084,0.3755,0.3378,0.3411,0.3785,
Mar,7,0.4071,0.3717,0.3331,0.3327,0.3808,
,8,0.4074,0.3799,0.3412,0.3253,0.3966,
,9,0.4115,0.3938,0.3622,0.3274,0.4128,
Apr,10,0.4165,0.4064,0.3832,0.3385,0.4271,
,11,0.4212,0.4216,0.4087,0.3578,0.4348,
,12,0.4463,0.4537,0.4436,0.38,0.4406,
May,13,0.4986,0.5112,0.4845,0.4467,0.4552,
,14,0.5569,0.5836,0.5262,0.5119,0.4919,
,15,0.6095,0.6527,0.5605,0.5893,0.5517,
Jun,16,0.6325,0.6914,0.5809,0.6411,0.605,
,17,0.6311,0.7041,0.5997,0.6603,0.6345,
,18,0.6243,0.7053,0.6223,0.6676,0.6507,
Jul,19,0.6301,0.6916,0.6482,0.6598,0.6682,
,20,0.6347,0.678,0.672,0.6442,0.6868,
,21,0.6413,0.6702,0.693,0.6144,0.6975,
Aug,22,0.6448,0.6703,0.7082,0.5956,0.6981,
,23,0.6536,0.6743,0.7096,0.6073,0.6953,
,24,0.6745,0.6764,0.698,0.6318,0.7014,
Sep,25,0.6918,0.6738,0.682,0.6784,0.6967,
,26,0.7033,0.6651,0.6678,0.6949,0.7156,
,27,0.7011,0.664,0.6653,0.7162,,
Oct,28,0.6863,0.6657,0.6785,0.719,,
,29,0.6798,0.6651,0.6942,0.7116,,
,30,0.6871,0.6556,0.6969,0.7072,,
Nov,31,0.6969,0.6408,0.6792,0.6915,,
,32,0.6987,0.6148,0.6436,0.6684,,
,33,0.6847,0.5825,0.5916,0.6373,,
Dec,34,0.6535,0.5447,0.5356,0.598,,
,35,0.6072,0.5033,0.488,0.5553,,
,36,0.5603,0.4627,0.4498,0.5109,
