Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3322,0.3726,0.2966,0.2519,0.2939,
,2,0.2896,0.3207,0.2687,0.2418,0.2502,
,3,0.2629,0.2825,0.2484,0.2319,0.2267,
Feb,4,0.2459,0.2571,0.2358,0.2261,0.2186,
,5,0.2377,0.2417,0.2258,0.2229,0.2178,
,6,0.2353,0.2337,0.2167,0.217,0.2194,
Mar,7,0.2338,0.2332,0.2136,0.2133,0.2282,
,8,0.2324,0.2371,0.216,0.2106,0.2389,
,9,0.2301,0.2444,0.2239,0.2121,0.2495,
Apr,10,0.2292,0.2494,0.227,0.2176,0.2582,
,11,0.2382,0.2488,0.2349,0.2278,0.262,
,12,0.2744,0.274,0.2499,0.2384,0.2726,
May,13,0.3423,0.3443,0.285,0.2788,0.2976,
,14,0.4211,0.4487,0.3425,0.3373,0.3539,
,15,0.4979,0.5655,0.4206,0.4099,0.4361,
Jun,16,0.5529,0.6584,0.4861,0.4678,0.5126,
,17,0.5809,0.6996,0.5356,0.5085,0.5732,
,18,0.5976,0.7098,0.5571,0.5433,0.6198,
Jul,19,0.6059,0.6925,0.5774,0.5784,0.658,
,20,0.591,0.6815,0.6034,0.616,0.6858,
,21,0.5676,0.6764,0.6418,0.6482,0.7054,
Aug,22,0.5591,0.6764,0.6776,0.6683,0.706,
,23,0.5779,0.674,0.692,0.6814,0.6968,
,24,0.6296,0.667,0.6845,0.6793,0.705,
Sep,25,0.6648,0.6548,0.6791,0.6724,0.6861,
,26,0.6831,0.6439,0.6776,0.6671,0.6972,
,27,0.6786,0.6394,0.6788,0.6768,,
Oct,28,0.6653,0.6364,0.6834,0.6857,,
,29,0.6525,0.6308,0.6842,0.684,,
,30,0.6481,0.6167,0.6636,0.6726,,
Nov,31,0.6412,0.5906,0.6174,0.6407,,
,32,0.6261,0.5492,0.5505,0.5983,,
,33,0.5968,0.4969,0.4662,0.5451,,
Dec,34,0.5508,0.4401,0.3801,0.4862,,
,35,0.4932,0.385,0.3185,0.4215,,
,36,0.4315,0.3355,0.2771,0.3535,
