Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4249,0.4502,0.4065,0.3914,0.4328,
,2,0.3959,0.4098,0.3675,0.3505,0.3944,
,3,0.3728,0.3757,0.3401,0.3189,0.3653,
Feb,4,0.3506,0.3496,0.3221,0.2984,0.3383,
,5,0.335,0.3311,0.3054,0.2902,0.3189,
,6,0.3263,0.3195,0.2921,0.2922,0.3052,
Mar,7,0.3228,0.3212,0.2856,0.3014,0.3027,
,8,0.3235,0.3339,0.2901,0.3073,0.3292,
,9,0.3267,0.3477,0.3076,0.3096,0.3688,
Apr,10,0.3312,0.3697,0.3326,0.3117,0.415,
,11,0.3492,0.3983,0.3588,0.3147,0.4509,
,12,0.395,0.4414,0.397,0.3226,0.4737,
May,13,0.4752,0.5043,0.4499,0.3827,0.5089,
,14,0.562,0.5758,0.5044,0.4499,0.569,
,15,0.6361,0.6338,0.555,0.5275,0.6434,
Jun,16,0.6713,0.672,0.6003,0.5861,0.6901,
,17,0.6786,0.6957,0.6354,0.6222,0.708,
,18,0.6769,0.7087,0.6654,0.6448,0.7199,
Jul,19,0.6739,0.7128,0.6996,0.6591,0.7308,
,20,0.6714,0.718,0.728,0.669,0.7387,
,21,0.6773,0.7237,0.7449,0.6801,0.7336,
Aug,22,0.6961,0.7244,0.75,0.689,0.7207,
,23,0.7222,0.7178,0.7423,0.7007,0.7134,
,24,0.7446,0.7055,0.7296,0.713,0.7148,
Sep,25,0.7469,0.6937,0.7207,0.7305,0.7232,
,26,0.7379,0.6842,0.7179,0.7351,0.7454,
,27,0.7228,0.6787,0.716,0.7388,,
Oct,28,0.7079,0.6743,0.7113,0.7337,,
,29,0.6995,0.6699,0.6987,0.7219,,
,30,0.6912,0.6615,0.6788,0.7072,,
Nov,31,0.6792,0.6466,0.6539,0.684,,
,32,0.6583,0.6242,0.6246,0.6557,,
,33,0.6274,0.5931,0.5864,0.6185,,
Dec,34,0.587,0.5533,0.541,0.5764,,
,35,0.542,0.5059,0.4908,0.5269,,
,36,0.4952,0.4546,0.4394,0.4781,
