Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.39,0.4075,0.3353,0.3763,0.3325,
,2,0.3679,0.3819,0.3097,0.3519,0.316,
,3,0.3548,0.3645,0.2961,0.3296,0.3065,
Feb,4,0.3413,0.3465,0.2911,0.3132,0.302,
,5,0.3348,0.3316,0.2895,0.3054,0.3035,
,6,0.3342,0.3222,0.2859,0.3036,0.3142,
Mar,7,0.338,0.3262,0.2827,0.3081,0.335,
,8,0.3555,0.3436,0.2865,0.3158,0.3571,
,9,0.3813,0.3633,0.3059,0.323,0.389,
Apr,10,0.4205,0.3766,0.3414,0.3304,0.4175,
,11,0.4828,0.3887,0.392,0.3383,0.4296,
,12,0.5644,0.4113,0.456,0.3456,0.4343,
May,13,0.6432,0.4544,0.5219,0.4308,0.4401,
,14,0.7039,0.5182,0.5775,0.5137,0.4587,
,15,0.7341,0.5821,0.6145,0.5989,0.5011,
Jun,16,0.7411,0.6365,0.6428,0.653,0.5609,
,17,0.7393,0.6741,0.6725,0.688,0.615,
,18,0.7389,0.7003,0.7071,0.7241,0.6566,
Jul,19,0.7394,0.7181,0.7442,0.7429,0.6817,
,20,0.7421,0.7383,0.7641,0.7515,0.6994,
,21,0.7483,0.7567,0.7651,0.7522,0.716,
Aug,22,0.7555,0.766,0.7548,0.7557,0.7317,
,23,0.7596,0.7673,0.7501,0.7524,0.7548,
,24,0.7523,0.7611,0.7465,0.7358,0.7695,
Sep,25,0.737,0.7439,0.7428,0.7267,0.7773,
,26,0.7158,0.7193,0.7338,0.7176,0.7828,
,27,0.695,0.6931,0.7195,0.7206,,
Oct,28,0.6716,0.6706,0.7001,0.7115,,
,29,0.6498,0.6526,0.6792,0.6935,,
,30,0.6295,0.6359,0.6545,0.6704,,
Nov,31,0.6077,0.6153,0.6256,0.6337,,
,32,0.5853,0.5842,0.5896,0.5857,,
,33,0.5592,0.5391,0.5439,0.5266,,
Dec,34,0.5232,0.4836,0.4943,0.4653,,
,35,0.4823,0.4261,0.4479,0.4067,,
,36,0.4424,0.3742,0.4069,0.3616,
