Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4252,0.4607,0.3268,0.399,0.3693,
,2,0.3968,0.427,0.3033,0.368,0.3438,
,3,0.3737,0.3972,0.2874,0.3381,0.3253,
Feb,4,0.3489,0.3669,0.2768,0.3131,0.3107,
,5,0.3303,0.3428,0.2686,0.2966,0.2998,
,6,0.3195,0.3282,0.2599,0.2855,0.2935,
Mar,7,0.3115,0.326,0.2547,0.2807,0.2966,
,8,0.3182,0.3367,0.2576,0.2811,0.3171,
,9,0.3327,0.3465,0.2692,0.2858,0.3517,
Apr,10,0.3648,0.3519,0.2897,0.2952,0.3831,
,11,0.4261,0.358,0.3225,0.3089,0.3956,
,12,0.5138,0.3837,0.3717,0.3281,0.3966,
May,13,0.5994,0.4383,0.44,0.4029,0.4058,
,14,0.6636,0.5239,0.5141,0.4809,0.4312,
,15,0.6898,0.6047,0.5751,0.56,0.4822,
Jun,16,0.6971,0.6636,0.6175,0.6038,0.5462,
,17,0.6964,0.6885,0.6551,0.6292,0.5994,
,18,0.7006,0.699,0.6882,0.6463,0.645,
Jul,19,0.7109,0.6977,0.7266,0.6623,0.6765,
,20,0.7192,0.7035,0.7474,0.6734,0.6978,
,21,0.7219,0.7123,0.7497,0.6786,0.7148,
Aug,22,0.7201,0.7209,0.7335,0.6901,0.7221,
,23,0.7136,0.7249,0.7213,0.6964,0.7275,
,24,0.703,0.7245,0.7146,0.6945,0.7302,
Sep,25,0.6883,0.7142,0.715,0.7023,0.7395,
,26,0.672,0.6967,0.7132,0.6985,0.7408,
,27,0.6599,0.673,0.7044,0.7072,,
Oct,28,0.6504,0.6513,0.6894,0.7045,,
,29,0.6438,0.6339,0.6742,0.6965,,
,30,0.6374,0.6188,0.6584,0.6771,,
Nov,31,0.6253,0.599,0.6408,0.6432,,
,32,0.6127,0.568,0.6158,0.6012,,
,33,0.5981,0.5206,0.5769,0.5526,,
Dec,34,0.5722,0.4637,0.529,0.5042,,
,35,0.5377,0.4086,0.4811,0.4535,,
,36,0.4998,0.3617,0.4361,0.407,
