Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4205,0.4464,0.3731,0.3872,0.4065,
,2,0.3929,0.4148,0.3453,0.3596,0.3774,
,3,0.3713,0.389,0.3255,0.3339,0.3554,
Feb,4,0.3479,0.3641,0.3119,0.3138,0.3369,
,5,0.3299,0.3446,0.301,0.302,0.3234,
,6,0.3186,0.3311,0.2912,0.2946,0.3172,
Mar,7,0.3119,0.3274,0.2861,0.2933,0.3214,
,8,0.3192,0.3345,0.2907,0.2941,0.3398,
,9,0.3379,0.344,0.3042,0.2981,0.3778,
Apr,10,0.365,0.3516,0.3181,0.3065,0.4194,
,11,0.4161,0.3609,0.343,0.3201,0.4478,
,12,0.4885,0.3901,0.3845,0.3403,0.4642,
May,13,0.5655,0.4472,0.4459,0.4144,0.4895,
,14,0.6302,0.5275,0.5136,0.4854,0.5341,
,15,0.673,0.606,0.5734,0.5555,0.6024,
Jun,16,0.6887,0.6615,0.614,0.5992,0.6617,
,17,0.6914,0.6891,0.6514,0.6277,0.6916,
,18,0.6911,0.7061,0.683,0.6501,0.7043,
Jul,19,0.6989,0.7136,0.7211,0.6696,0.7097,
,20,0.7128,0.7233,0.7384,0.6794,0.7172,
,21,0.7278,0.7326,0.7367,0.6836,0.7326,
Aug,22,0.7387,0.7398,0.7153,0.6973,0.7429,
,23,0.7389,0.7416,0.7088,0.7106,0.7463,
,24,0.7294,0.7385,0.7108,0.7162,0.7417,
Sep,25,0.7097,0.7264,0.72,0.7201,0.7355,
,26,0.685,0.7075,0.7184,0.7159,0.7376,
,27,0.6667,0.6839,0.7137,0.7267,,
Oct,28,0.6561,0.6596,0.7016,0.7268,,
,29,0.6491,0.6406,0.6884,0.7187,,
,30,0.6444,0.6235,0.6689,0.6961,,
Nov,31,0.6315,0.605,0.6418,0.6624,,
,32,0.6153,0.5802,0.6064,0.6249,,
,33,0.5957,0.5437,0.5608,0.5826,,
Dec,34,0.5647,0.4987,0.512,0.5392,,
,35,0.5258,0.4536,0.4656,0.4912,,
,36,0.4853,0.4101,0.4224,0.4456,
