Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.439,0.4823,0.2834,0.3842,0.3592,
,2,0.3954,0.4414,0.2638,0.345,0.3076,
,3,0.3587,0.404,0.2496,0.3098,0.2755,
Feb,4,0.3235,0.3649,0.239,0.2824,0.2628,
,5,0.2997,0.3263,0.2314,0.2672,0.2603,
,6,0.2873,0.2988,0.2231,0.2591,0.2672,
Mar,7,0.2814,0.2911,0.2159,0.2549,0.2798,
,8,0.2837,0.3037,0.2164,0.2514,0.2933,
,9,0.2886,0.322,0.2262,0.2499,0.307,
Apr,10,0.303,0.3327,0.242,0.2508,0.3145,
,11,0.3488,0.3385,0.274,0.2547,0.3127,
,12,0.431,0.3604,0.3247,0.2648,0.3095,
May,13,0.5352,0.4087,0.389,0.3205,0.3147,
,14,0.62,0.4862,0.4561,0.3793,0.3334,
,15,0.6637,0.5627,0.511,0.4431,0.3789,
Jun,16,0.6767,0.619,0.5537,0.4979,0.4499,
,17,0.6732,0.6463,0.5986,0.5456,0.5291,
,18,0.6698,0.6574,0.6476,0.6014,0.607,
Jul,19,0.6745,0.6563,0.6976,0.6469,0.6526,
,20,0.6838,0.6629,0.7242,0.6697,0.6725,
,21,0.6932,0.6729,0.7243,0.6774,0.6749,
Aug,22,0.6989,0.6884,0.7077,0.6812,0.6776,
,23,0.6975,0.701,0.6928,0.6829,0.6982,
,24,0.6873,0.7045,0.6859,0.6725,0.7182,
Sep,25,0.6705,0.6912,0.685,0.6842,0.7453,
,26,0.6622,0.6739,0.6849,0.6878,0.7527,
,27,0.6604,0.6545,0.6863,0.6914,,
Oct,28,0.6562,0.6375,0.6906,0.6896,,
,29,0.6504,0.6287,0.6952,0.6934,,
,30,0.6445,0.6216,0.691,0.6985,,
Nov,31,0.6344,0.6046,0.6777,0.6863,,
,32,0.6317,0.5692,0.6497,0.6578,,
,33,0.6271,0.508,0.6006,0.6118,,
Dec,34,0.6072,0.4346,0.5425,0.5596,,
,35,0.5718,0.3669,0.4839,0.4978,,
,36,0.5281,0.3154,0.4286,0.4245,
