Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3919,0.3788,0.3645,0.3632,0.3403,
,2,0.3632,0.3559,0.3461,0.3612,0.3394,
,3,0.3509,0.3548,0.3441,0.3647,0.3485,
Feb,4,0.3509,0.3616,0.3498,0.3706,0.3566,
,5,0.3648,0.3758,0.3563,0.3788,0.3643,
,6,0.384,0.3925,0.3589,0.3856,0.387,
Mar,7,0.4005,0.4179,0.3696,0.3931,0.4185,
,8,0.4315,0.4563,0.3928,0.3967,0.4781,
,9,0.4708,0.4975,0.4317,0.4053,0.552,
Apr,10,0.5228,0.5335,0.4819,0.42,0.6001,
,11,0.5878,0.5669,0.5437,0.4405,0.622,
,12,0.6632,0.6006,0.611,0.4707,0.6318,
May,13,0.7253,0.6403,0.6805,0.5933,0.643,
,14,0.7732,0.6839,0.7364,0.674,0.6672,
,15,0.8011,0.7173,0.7674,0.7318,0.7082,
Jun,16,0.8123,0.7405,0.7762,0.7533,0.7485,
,17,0.8118,0.7525,0.7796,0.7582,0.7717,
,18,0.8043,0.7644,0.7841,0.7603,0.783,
Jul,19,0.7865,0.7761,0.7967,0.7667,0.7822,
,20,0.7729,0.7908,0.8026,0.7773,0.7778,
,21,0.7723,0.8042,0.8021,0.7897,0.7744,
Aug,22,0.7845,0.8119,0.7951,0.8005,0.7753,
,23,0.7983,0.8139,0.7947,0.7986,0.7805,
,24,0.8027,0.81,0.7936,0.7877,0.7849,
Sep,25,0.7902,0.7964,0.7854,0.7713,0.7855,
,26,0.7623,0.7719,0.7705,0.7525,0.7743,
,27,0.7276,0.7429,0.7489,0.7415,,
Oct,28,0.6935,0.7129,0.7204,0.7311,,
,29,0.6653,0.6867,0.692,0.7131,,
,30,0.6459,0.6642,0.6637,0.6897,,
Nov,31,0.6305,0.6429,0.6324,0.6538,,
,32,0.6103,0.6168,0.5948,0.6041,,
,33,0.5802,0.5774,0.5449,0.5431,,
Dec,34,0.5349,0.5235,0.4832,0.4764,,
,35,0.4789,0.4622,0.4267,0.4061,,
,36,0.4239,0.4046,0.3828,0.3597,
