Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4849,0.4914,0.4404,0.4291,0.4617,
,2,0.4609,0.459,0.4082,0.4034,0.4294,
,3,0.4389,0.4304,0.3835,0.3791,0.4037,
Feb,4,0.4166,0.4067,0.3646,0.3588,0.3804,
,5,0.4003,0.3864,0.347,0.3429,0.3639,
,6,0.3905,0.3713,0.3329,0.3308,0.3526,
Mar,7,0.3867,0.3673,0.3261,0.3233,0.3494,
,8,0.3877,0.3742,0.3324,0.3152,0.3689,
,9,0.3915,0.3841,0.3512,0.3163,0.4036,
Apr,10,0.4038,0.3988,0.3752,0.3266,0.4426,
,11,0.4322,0.4181,0.3978,0.3454,0.4682,
,12,0.4814,0.4544,0.4281,0.3727,0.4785,
May,13,0.5491,0.518,0.4712,0.4679,0.4961,
,14,0.6107,0.5972,0.5233,0.5523,0.5432,
,15,0.6486,0.6683,0.5752,0.6279,0.6103,
Jun,16,0.6583,0.7057,0.6243,0.6565,0.657,
,17,0.6585,0.7223,0.6635,0.6582,0.6759,
,18,0.6626,0.7284,0.6932,0.6476,0.6935,
Jul,19,0.6848,0.7271,0.7212,0.6422,0.7112,
,20,0.7077,0.7248,0.7442,0.6433,0.7273,
,21,0.7209,0.7251,0.7597,0.6471,0.7377,
Aug,22,0.7218,0.7262,0.767,0.6486,0.7381,
,23,0.7217,0.7289,0.7612,0.6584,0.7357,
,24,0.7241,0.7257,0.7487,0.6735,0.7314,
Sep,25,0.7228,0.7176,0.7368,0.6948,0.728,
,26,0.7134,0.7023,0.7296,0.7034,0.7434,
,27,0.7019,0.6942,0.7261,0.7207,,
Oct,28,0.6874,0.6907,0.7247,0.7282,,
,29,0.6815,0.687,0.7183,0.7222,,
,30,0.6805,0.6725,0.7028,0.7144,,
Nov,31,0.6775,0.6499,0.6784,0.6944,,
,32,0.6678,0.6206,0.6452,0.6649,,
,33,0.647,0.5892,0.5991,0.6282,,
Dec,34,0.6136,0.5557,0.5494,0.5852,,
,35,0.5713,0.5189,0.502,0.5412,,
,36,0.5296,0.4791,0.4606,0.5004,
