Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3764,0.3932,0.3531,0.3306,0.3685,
,2,0.3441,0.3613,0.3202,0.3022,0.33,
,3,0.3201,0.3379,0.2976,0.2806,0.306,
Feb,4,0.2977,0.3182,0.2843,0.2676,0.2885,
,5,0.2834,0.3043,0.272,0.2618,0.2763,
,6,0.2748,0.2951,0.2604,0.2589,0.2694,
Mar,7,0.2697,0.2973,0.2555,0.2597,0.265,
,8,0.2707,0.3114,0.2621,0.2574,0.2896,
,9,0.278,0.3298,0.2788,0.2582,0.342,
Apr,10,0.2951,0.356,0.2995,0.2626,0.408,
,11,0.3408,0.3915,0.3261,0.2718,0.4578,
,12,0.4168,0.4387,0.3739,0.2891,0.48,
May,13,0.5188,0.5051,0.4457,0.3873,0.5061,
,14,0.6103,0.5855,0.5273,0.473,0.5547,
,15,0.6731,0.6571,0.6017,0.5559,0.6244,
Jun,16,0.6939,0.7053,0.6518,0.6008,0.6781,
,17,0.7005,0.733,0.6839,0.6185,0.7022,
,18,0.7013,0.7479,0.7097,0.6253,0.7191,
Jul,19,0.7144,0.7497,0.7414,0.6304,0.732,
,20,0.7349,0.7497,0.7637,0.6382,0.7425,
,21,0.7528,0.75,0.7706,0.6548,0.749,
Aug,22,0.7614,0.7479,0.7608,0.6845,0.7476,
,23,0.7627,0.746,0.753,0.7149,0.7479,
,24,0.7581,0.7415,0.7458,0.7321,0.7514,
Sep,25,0.7436,0.7335,0.746,0.7446,0.7468,
,26,0.7218,0.719,0.7445,0.7436,0.7609,
,27,0.7045,0.7012,0.7348,0.7443,,
Oct,28,0.6927,0.6833,0.7156,0.7397,,
,29,0.6874,0.6661,0.6912,0.7254,,
,30,0.6792,0.6478,0.6621,0.7049,,
Nov,31,0.6624,0.6235,0.6287,0.6772,,
,32,0.6337,0.5925,0.5864,0.6436,,
,33,0.5938,0.5514,0.5328,0.5993,,
Dec,34,0.5428,0.5033,0.4742,0.5479,,
,35,0.4873,0.451,0.4188,0.4866,,
,36,0.4363,0.399,0.3689,0.4238,
