Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3654,0.3601,0.3525,0.3526,0.329,
,2,0.3693,0.3518,0.3397,0.3547,0.3268,
,3,0.3713,0.35,0.334,0.3519,0.3274,
Feb,4,0.3693,0.3486,0.3302,0.3447,0.3244,
,5,0.367,0.3451,0.3261,0.339,0.3224,
,6,0.3662,0.3342,0.3155,0.3353,0.3226,
Mar,7,0.3697,0.3238,0.3031,0.3359,0.3357,
,8,0.3772,0.3234,0.2914,0.3355,0.3546,
,9,0.3883,0.3347,0.2955,0.3364,0.3672,
Apr,10,0.4096,0.3511,0.3155,0.3379,0.3722,
,11,0.4482,0.3704,0.3462,0.3418,0.372,
,12,0.5075,0.3914,0.3832,0.3475,0.3706,
May,13,0.5816,0.4314,0.4305,0.3744,0.3775,
,14,0.652,0.4928,0.4821,0.415,0.4113,
,15,0.7033,0.5649,0.5413,0.4791,0.4773,
Jun,16,0.7371,0.6237,0.6019,0.5556,0.5555,
,17,0.7554,0.6632,0.6587,0.6389,0.6187,
,18,0.7658,0.6919,0.7106,0.7026,0.661,
Jul,19,0.768,0.7221,0.7557,0.7397,0.7,
,20,0.7739,0.7588,0.7884,0.7583,0.7388,
,21,0.7808,0.7917,0.805,0.7657,0.7671,
Aug,22,0.7937,0.81,0.808,0.7737,0.7858,
,23,0.8016,0.8144,0.8086,0.7805,0.7943,
,24,0.7957,0.8096,0.807,0.7821,0.7989,
Sep,25,0.7771,0.7988,0.7999,0.7792,0.7931,
,26,0.7475,0.7832,0.7799,0.7617,0.7754,
,27,0.7118,0.7549,0.7478,0.7585,,
Oct,28,0.6779,0.7197,0.7072,0.736,,
,29,0.646,0.6803,0.6638,0.6918,,
,30,0.612,0.6401,0.621,0.6459,,
Nov,31,0.5724,0.5989,0.5755,0.5966,,
,32,0.5247,0.5535,0.5239,0.5473,,
,33,0.4744,0.5018,0.4665,0.4927,,
Dec,34,0.4278,0.4489,0.413,0.4317,,
,35,0.3935,0.4051,0.3746,0.3755,,
,36,0.3723,0.3743,0.3562,0.3421,
