Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3404,0.3106,0.3117,0.299,0.3116,
,2,0.3218,0.2928,0.2937,0.2864,0.2969,
,3,0.3038,0.2821,0.279,0.2732,0.2866,
Feb,4,0.2865,0.2734,0.2677,0.2609,0.2744,
,5,0.2745,0.2635,0.257,0.2498,0.2615,
,6,0.2673,0.2495,0.2452,0.2407,0.2531,
Mar,7,0.2665,0.2356,0.2327,0.2351,0.2526,
,8,0.2704,0.2273,0.2213,0.2311,0.2581,
,9,0.2706,0.2262,0.2197,0.2315,0.2601,
Apr,10,0.2713,0.2319,0.2279,0.2346,0.2567,
,11,0.2775,0.2375,0.2408,0.2416,0.2529,
,12,0.2996,0.2475,0.2568,0.2523,0.2524,
May,13,0.3431,0.2678,0.2751,0.2676,0.254,
,14,0.4004,0.3041,0.2977,0.2898,0.2653,
,15,0.4539,0.3541,0.3321,0.3385,0.2857,
Jun,16,0.5018,0.4153,0.3801,0.4058,0.3239,
,17,0.5415,0.4738,0.4394,0.4905,0.3786,
,18,0.578,0.5299,0.5065,0.5632,0.4364,
Jul,19,0.6095,0.5747,0.5742,0.6123,0.5099,
,20,0.6349,0.611,0.6351,0.6413,0.5802,
,21,0.6563,0.6449,0.6727,0.6596,0.6313,
Aug,22,0.6755,0.6781,0.6903,0.6872,0.6666,
,23,0.6852,0.7032,0.6936,0.7006,0.6863,
,24,0.6738,0.7082,0.6872,0.6961,0.703,
Sep,25,0.6593,0.698,0.6755,0.6848,0.6934,
,26,0.6503,0.6715,0.6646,0.6656,0.6776,
,27,0.636,0.6435,0.6515,0.6616,,
Oct,28,0.6158,0.612,0.6301,0.6464,,
,29,0.5848,0.5821,0.5955,0.6188,,
,30,0.5397,0.5477,0.5481,0.5823,,
Nov,31,0.4942,0.5052,0.4948,0.5404,,
,32,0.4515,0.4565,0.4433,0.4982,,
,33,0.4161,0.411,0.3976,0.4535,,
Dec,34,0.3854,0.3749,0.3613,0.4096,,
,35,0.3591,0.3488,0.3346,0.3653,,
,36,0.3331,0.3302,0.3146,0.3325,
