Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3443,0.3071,0.3057,0.3077,0.3215,
,2,0.3288,0.2938,0.2909,0.2967,0.3105,
,3,0.3139,0.2852,0.2792,0.2845,0.302,
Feb,4,0.299,0.2772,0.2697,0.2721,0.2922,
,5,0.2882,0.2674,0.2616,0.262,0.2811,
,6,0.2817,0.2555,0.2528,0.2533,0.2697,
Mar,7,0.2808,0.2435,0.2444,0.2496,0.2677,
,8,0.2841,0.2372,0.2366,0.2478,0.2709,
,9,0.2878,0.237,0.235,0.2484,0.27,
Apr,10,0.2918,0.2428,0.2401,0.2511,0.2657,
,11,0.3005,0.2499,0.2454,0.257,0.2607,
,12,0.3212,0.2592,0.2556,0.2644,0.2603,
May,13,0.3599,0.2815,0.2731,0.2756,0.2677,
,14,0.4091,0.3218,0.3022,0.2997,0.287,
,15,0.4583,0.375,0.3476,0.3596,0.3242,
Jun,16,0.502,0.4331,0.408,0.4473,0.3772,
,17,0.5416,0.4851,0.4686,0.546,0.4287,
,18,0.5811,0.5268,0.5229,0.6198,0.4786,
Jul,19,0.6217,0.5662,0.5655,0.6656,0.5336,
,20,0.6605,0.6077,0.6083,0.6888,0.5833,
,21,0.692,0.6519,0.6504,0.7041,0.6203,
Aug,22,0.7175,0.691,0.694,0.7254,0.6554,
,23,0.7343,0.7148,0.7218,0.7445,0.6916,
,24,0.7428,0.7226,0.7291,0.7484,0.7156,
Sep,25,0.7383,0.7185,0.7216,0.7406,0.7313,
,26,0.7204,0.7033,0.7117,0.7171,0.7318,
,27,0.6852,0.6753,0.6849,0.6902,,
Oct,28,0.6445,0.6395,0.6499,0.655,,
,29,0.5971,0.6,0.6036,0.6113,,
,30,0.5502,0.5572,0.5484,0.5669,,
Nov,31,0.5042,0.5089,0.492,0.5249,,
,32,0.4572,0.4576,0.4389,0.4859,,
,33,0.4147,0.4082,0.3942,0.4464,,
Dec,34,0.378,0.3674,0.3599,0.406,,
,35,0.3471,0.3392,0.3368,0.3681,,
,36,0.3239,0.3222,0.3205,0.3392,
