Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3842,0.399,0.3253,0.3298,0.3384,
,2,0.3621,0.3718,0.3046,0.3168,0.3232,
,3,0.3398,0.3517,0.2885,0.3018,0.3108,
Feb,4,0.3177,0.3346,0.2764,0.2863,0.2963,
,5,0.3013,0.3171,0.2629,0.2722,0.2829,
,6,0.2903,0.2956,0.247,0.2608,0.2754,
Mar,7,0.2863,0.2748,0.2309,0.2535,0.2736,
,8,0.2879,0.2631,0.2193,0.2476,0.2774,
,9,0.2863,0.2616,0.2224,0.2455,0.2809,
Apr,10,0.2872,0.2703,0.2393,0.2453,0.2818,
,11,0.3035,0.2802,0.2625,0.249,0.2828,
,12,0.3422,0.2942,0.2866,0.2555,0.2827,
May,13,0.4029,0.3203,0.3063,0.2649,0.2893,
,14,0.4726,0.3603,0.3242,0.2817,0.3099,
,15,0.5258,0.4043,0.3468,0.3222,0.3591,
Jun,16,0.5647,0.446,0.3812,0.3827,0.4177,
,17,0.5949,0.4805,0.429,0.4658,0.4662,
,18,0.6184,0.5161,0.4909,0.5442,0.5091,
Jul,19,0.639,0.5585,0.5541,0.6063,0.5512,
,20,0.6622,0.6066,0.6167,0.6424,0.6024,
,21,0.6861,0.6531,0.6591,0.6566,0.6425,
Aug,22,0.7061,0.6927,0.6824,0.666,0.671,
,23,0.7111,0.7156,0.6886,0.6687,0.6865,
,24,0.6933,0.7148,0.6834,0.6691,0.702,
Sep,25,0.6738,0.6992,0.6735,0.6886,0.7005,
,26,0.6559,0.6764,0.6606,0.6844,0.6729,
,27,0.6357,0.6511,0.6459,0.6762,,
Oct,28,0.6189,0.6319,0.624,0.6469,,
,29,0.6035,0.611,0.5955,0.6091,,
,30,0.5811,0.5837,0.5598,0.5728,,
Nov,31,0.5624,0.5466,0.5207,0.5369,,
,32,0.5413,0.4995,0.4792,0.5017,,
,33,0.5177,0.4518,0.4372,0.462,,
Dec,34,0.4916,0.4091,0.3984,0.4225,,
,35,0.4631,0.374,0.3675,0.3835,,
,36,0.4307,0.3473,0.3453,0.3562,
