Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3374,0.3318,0.3242,0.3107,0.3131,
,2,0.3299,0.3198,0.3101,0.3024,0.3057,
,3,0.322,0.3112,0.2984,0.2925,0.3002,
Feb,4,0.3136,0.3027,0.2886,0.2808,0.2933,
,5,0.3064,0.2929,0.2791,0.2708,0.2862,
,6,0.3012,0.2788,0.2669,0.2619,0.2793,
Mar,7,0.3001,0.2648,0.2533,0.2579,0.2807,
,8,0.3015,0.2586,0.2414,0.2558,0.2847,
,9,0.3051,0.2601,0.2392,0.2564,0.2835,
Apr,10,0.3181,0.2695,0.2466,0.2592,0.2786,
,11,0.3453,0.2838,0.2594,0.2651,0.2731,
,12,0.3892,0.3076,0.2791,0.2726,0.2721,
May,13,0.447,0.3517,0.3068,0.2893,0.2787,
,14,0.5022,0.4168,0.3443,0.3163,0.3009,
,15,0.5437,0.4846,0.3978,0.375,0.3445,
Jun,16,0.5753,0.5418,0.4622,0.4603,0.4056,
,17,0.6019,0.5816,0.5302,0.5599,0.4662,
,18,0.629,0.6127,0.5937,0.6383,0.5189,
Jul,19,0.6543,0.6436,0.6452,0.688,0.5764,
,20,0.6813,0.6827,0.6829,0.7113,0.6271,
,21,0.7071,0.7226,0.7131,0.7232,0.6635,
Aug,22,0.7338,0.7522,0.7388,0.7384,0.6954,
,23,0.7538,0.7645,0.7585,0.7552,0.7211,
,24,0.7597,0.7619,0.7615,0.761,0.7428,
Sep,25,0.7505,0.7493,0.7473,0.7514,0.7517,
,26,0.7224,0.7257,0.7191,0.7222,0.7322,
,27,0.679,0.6895,0.6778,0.6952,,
Oct,28,0.6356,0.6494,0.633,0.6593,,
,29,0.5944,0.6066,0.5853,0.613,,
,30,0.5569,0.5619,0.536,0.565,,
Nov,31,0.5177,0.5139,0.4855,0.5169,,
,32,0.4731,0.4631,0.4386,0.4705,,
,33,0.4291,0.4153,0.3965,0.4261,,
Dec,34,0.3908,0.3773,0.3625,0.3828,,
,35,0.363,0.3523,0.3377,0.3468,,
,36,0.345,0.3385,0.322,0.3243,
