Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3344,0.4446,0.3461,0.3215,0.3228,
,2,0.326,0.4175,0.33,0.3169,0.3165,
,3,0.3185,0.3923,0.3179,0.3047,0.3114,
Feb,4,0.3076,0.3692,0.3053,0.29,0.3047,
,5,0.2997,0.3458,0.2922,0.2774,0.2983,
,6,0.2977,0.3235,0.276,0.2695,0.2901,
Mar,7,0.3007,0.3003,0.2577,0.268,0.2882,
,8,0.3055,0.2884,0.2448,0.2674,0.2935,
,9,0.3068,0.2885,0.2433,0.2671,0.3039,
Apr,10,0.3075,0.3017,0.254,0.2674,0.3116,
,11,0.3186,0.3192,0.2749,0.2686,0.3109,
,12,0.3475,0.3413,0.3051,0.2718,0.3085,
May,13,0.3967,0.3655,0.3366,0.3208,0.3081,
,14,0.4611,0.3995,0.3649,0.3815,0.3223,
,15,0.5285,0.4469,0.3971,0.4807,0.3561,
Jun,16,0.5966,0.5117,0.4392,0.5993,0.4191,
,17,0.6571,0.5851,0.5085,0.7041,0.4934,
,18,0.7055,0.6549,0.5967,0.7535,0.5636,
Jul,19,0.7445,0.7062,0.6978,0.7573,0.6259,
,20,0.774,0.7356,0.7593,0.7342,0.6743,
,21,0.7899,0.7533,0.7692,0.6966,0.7174,
Aug,22,0.7895,0.7703,0.7543,0.7052,0.7595,
,23,0.7832,0.7837,0.7634,0.7408,0.7844,
,24,0.7695,0.7956,0.7775,0.7526,0.7973,
Sep,25,0.7556,0.7953,0.7916,0.741,0.7927,
,26,0.7309,0.7883,0.7797,0.7141,0.7573,
,27,0.7061,0.7663,0.7528,0.7177,,
Oct,28,0.6781,0.7322,0.7028,0.7046,,
,29,0.649,0.684,0.6462,0.6687,,
,30,0.6208,0.6279,0.5866,0.6093,,
Nov,31,0.5906,0.5713,0.5231,0.5438,,
,32,0.5616,0.5196,0.4626,0.4831,,
,33,0.5365,0.4756,0.4068,0.4302,,
Dec,34,0.5141,0.4352,0.3623,0.3877,,
,35,0.4931,0.4004,0.3364,0.3546,,
,36,0.4712,0.3706,0.3254,0.3346,
