Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4808,0.5386,0.4438,0.465,0.4523,
,2,0.4537,0.5039,0.4161,0.4445,0.4273,
,3,0.4258,0.472,0.3924,0.4231,0.4073,
Feb,4,0.3967,0.443,0.3712,0.3997,0.3827,
,5,0.3721,0.4149,0.3472,0.3793,0.3608,
,6,0.3563,0.3881,0.3252,0.361,0.3461,
Mar,7,0.3489,0.3683,0.311,0.3466,0.341,
,8,0.3477,0.3667,0.3098,0.3345,0.3483,
,9,0.3478,0.3799,0.3204,0.329,0.3581,
Apr,10,0.3535,0.4014,0.3331,0.3273,0.3653,
,11,0.372,0.4161,0.3525,0.3296,0.3671,
,12,0.4075,0.4249,0.3866,0.3371,0.3678,
May,13,0.4522,0.438,0.4403,0.3766,0.3717,
,14,0.4926,0.462,0.5034,0.4257,0.3836,
,15,0.5242,0.4929,0.5597,0.4911,0.4107,
Jun,16,0.5507,0.5205,0.5965,0.5542,0.4374,
,17,0.5789,0.5397,0.6173,0.6019,0.4606,
,18,0.6169,0.5538,0.63,0.6315,0.4929,
Jul,19,0.6592,0.5676,0.6405,0.6461,0.5422,
,20,0.689,0.5817,0.6493,0.6452,0.6092,
,21,0.6941,0.6054,0.6513,0.6314,0.6674,
Aug,22,0.6917,0.6386,0.6598,0.6222,0.6999,
,23,0.6843,0.6764,0.6735,0.6292,0.7116,
,24,0.6804,0.6999,0.6924,0.6504,0.7168,
Sep,25,0.6785,0.6984,0.6988,0.679,0.7198,
,26,0.6822,0.6954,0.688,0.6844,0.7241,
,27,0.6844,0.6939,0.6681,0.6897,,
Oct,28,0.6834,0.6903,0.6579,0.6768,,
,29,0.6771,0.6757,0.6531,0.6652,,
,30,0.6709,0.6598,0.6496,0.6604,,
Nov,31,0.6613,0.6425,0.6357,0.6454,,
,32,0.6527,0.6214,0.6129,0.6206,,
,33,0.6415,0.5951,0.5801,0.589,,
Dec,34,0.6254,0.5613,0.5442,0.5544,,
,35,0.6011,0.5194,0.5133,0.5184,,
,36,0.5724,0.4792,0.4868,0.4818,
