Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4551,0.5225,0.4219,0.5167,0.4274,
,2,0.4291,0.488,0.3915,0.4946,0.3927,
,3,0.4083,0.4576,0.3677,0.4694,0.3655,
Feb,4,0.3848,0.4297,0.3494,0.442,0.3399,
,5,0.3654,0.402,0.3321,0.4164,0.3253,
,6,0.3518,0.3745,0.3162,0.3952,0.3249,
Mar,7,0.3457,0.3598,0.3059,0.3803,0.335,
,8,0.3486,0.362,0.3083,0.3687,0.3552,
,9,0.3596,0.3798,0.3264,0.3626,0.3721,
Apr,10,0.3731,0.4056,0.3492,0.3602,0.3842,
,11,0.4003,0.4302,0.3788,0.3617,0.3887,
,12,0.4466,0.452,0.4203,0.3681,0.3962,
May,13,0.5057,0.4816,0.4782,0.4173,0.4109,
,14,0.5636,0.5227,0.5462,0.4755,0.4353,
,15,0.6086,0.5661,0.6129,0.5516,0.4827,
Jun,16,0.6395,0.5989,0.6626,0.6202,0.5358,
,17,0.6597,0.6151,0.6962,0.6706,0.5787,
,18,0.6802,0.6212,0.7202,0.705,0.6176,
Jul,19,0.7011,0.6195,0.7376,0.715,0.6571,
,20,0.7177,0.6166,0.75,0.7108,0.6964,
,21,0.7186,0.6262,0.7546,0.6965,0.7201,
Aug,22,0.7144,0.6529,0.7531,0.6951,0.7298,
,23,0.7094,0.6867,0.7428,0.7023,0.7263,
,24,0.7087,0.7082,0.7288,0.6981,0.7338,
Sep,25,0.7082,0.7,0.7062,0.6773,0.7354,
,26,0.7096,0.6877,0.6869,0.6564,0.7363,
,27,0.707,0.6756,0.6743,0.6564,,
Oct,28,0.6999,0.6627,0.6742,0.6653,,
,29,0.6922,0.6501,0.6756,0.6671,,
,30,0.6845,0.6367,0.6714,0.6658,,
Nov,31,0.6742,0.6208,0.6567,0.6508,,
,32,0.6658,0.6021,0.6371,0.6268,,
,33,0.6529,0.576,0.6105,0.5948,,
Dec,34,0.6304,0.5416,0.5851,0.5579,,
,35,0.5983,0.5015,0.5613,0.5142,,
,36,0.5618,0.4591,0.5378,0.468,
