Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5492,0.5565,0.5167,0.5427,0.525,
,2,0.5215,0.5231,0.4885,0.5187,0.4929,
,3,0.4938,0.4946,0.4635,0.4908,0.4629,
Feb,4,0.4676,0.4706,0.4388,0.461,0.4307,
,5,0.4464,0.4487,0.4146,0.4326,0.4099,
,6,0.434,0.4261,0.3955,0.4092,0.402,
Mar,7,0.4314,0.4159,0.386,0.3935,0.4008,
,8,0.4365,0.418,0.3953,0.385,0.4087,
,9,0.4452,0.4304,0.4234,0.3877,0.4206,
Apr,10,0.4575,0.448,0.4537,0.3991,0.4348,
,11,0.4735,0.4645,0.486,0.4163,0.4489,
,12,0.4966,0.4829,0.516,0.4418,0.4594,
May,13,0.5242,0.5151,0.5481,0.4869,0.4714,
,14,0.5539,0.5587,0.5801,0.5273,0.4876,
,15,0.5806,0.6026,0.6054,0.5683,0.5167,
Jun,16,0.6009,0.629,0.6226,0.6004,0.5497,
,17,0.614,0.6374,0.6371,0.6243,0.5818,
,18,0.6307,0.6382,0.6483,0.648,0.6106,
Jul,19,0.6559,0.6328,0.6643,0.665,0.6442,
,20,0.6839,0.6274,0.6869,0.6608,0.6807,
,21,0.7054,0.6288,0.7077,0.6384,0.6976,
Aug,22,0.7087,0.6389,0.7268,0.6175,0.6923,
,23,0.7019,0.6541,0.7278,0.6288,0.6752,
,24,0.6976,0.6647,0.7289,0.6639,0.6808,
Sep,25,0.6971,0.6636,0.717,0.6809,0.6975,
,26,0.7027,0.6612,0.7043,0.6753,0.7259,
,27,0.708,0.6629,0.6832,0.6643,,
Oct,28,0.7044,0.6704,0.6764,0.6563,,
,29,0.7046,0.6743,0.6788,0.6671,,
,30,0.7091,0.6708,0.6827,0.6965,,
Nov,31,0.7102,0.6633,0.6807,0.6989,,
,32,0.7046,0.6554,0.6685,0.6842,,
,33,0.691,0.6394,0.6417,0.6605,,
Dec,34,0.6646,0.616,0.6144,0.6267,,
,35,0.6306,0.5856,0.5886,0.5954,,
,36,0.5932,0.5504,0.5644,0.5601,
