Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5043,0.5206,0.3894,0.4767,0.4335,
,2,0.478,0.4837,0.3602,0.4471,0.3925,
,3,0.4543,0.4514,0.3341,0.4163,0.3578,
Feb,4,0.426,0.4253,0.3119,0.3842,0.33,
,5,0.4012,0.4005,0.294,0.3554,0.3112,
,6,0.382,0.3774,0.2798,0.3323,0.3041,
Mar,7,0.3705,0.3675,0.2734,0.3164,0.3068,
,8,0.3696,0.3717,0.2834,0.3059,0.3181,
,9,0.376,0.382,0.3119,0.306,0.331,
Apr,10,0.3814,0.3966,0.346,0.3134,0.3396,
,11,0.3971,0.4061,0.3855,0.3272,0.339,
,12,0.4259,0.4193,0.4278,0.349,0.3411,
May,13,0.4683,0.4498,0.4776,0.3838,0.3564,
,14,0.52,0.4984,0.5239,0.4184,0.3824,
,15,0.5685,0.5509,0.5558,0.4636,0.4289,
Jun,16,0.6018,0.5885,0.5726,0.5166,0.4848,
,17,0.6176,0.607,0.5897,0.5689,0.5338,
,18,0.626,0.6158,0.6192,0.6287,0.5735,
Jul,19,0.634,0.6161,0.6645,0.6602,0.6039,
,20,0.6421,0.6082,0.6999,0.6604,0.6234,
,21,0.6471,0.6026,0.7121,0.6372,0.6321,
Aug,22,0.6471,0.6079,0.7122,0.6228,0.6365,
,23,0.6421,0.6234,0.7078,0.6262,0.6449,
,24,0.6426,0.6349,0.7105,0.6315,0.6637,
Sep,25,0.6463,0.6261,0.7019,0.6268,0.68,
,26,0.6534,0.6085,0.6887,0.6226,0.7114,
,27,0.66,0.595,0.6705,0.6296,,
Oct,28,0.6608,0.6004,0.6663,0.6365,,
,29,0.6645,0.6172,0.6701,0.6477,,
,30,0.6707,0.6264,0.674,0.6606,,
Nov,31,0.6702,0.6227,0.6686,0.656,,
,32,0.6693,0.6076,0.6541,0.6358,,
,33,0.6644,0.5679,0.6215,0.6055,,
Dec,34,0.6438,0.5205,0.5837,0.5677,,
,35,0.6081,0.4714,0.5454,0.5276,,
,36,0.5654,0.4257,0.5076,0.4782,
