Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3784,0.4103,0.3451,0.3752,0.3433,
,2,0.359,0.3849,0.3257,0.3593,0.321,
,3,0.3455,0.3637,0.3112,0.3413,0.3071,
Feb,4,0.3319,0.3469,0.2993,0.3239,0.2962,
,5,0.3229,0.3315,0.2876,0.3109,0.289,
,6,0.3195,0.3192,0.2742,0.3032,0.2832,
Mar,7,0.321,0.3086,0.2603,0.3007,0.2851,
,8,0.3257,0.3079,0.2512,0.2979,0.298,
,9,0.3326,0.3154,0.2548,0.2966,0.3118,
Apr,10,0.3421,0.332,0.2697,0.2979,0.3183,
,11,0.3576,0.3506,0.2895,0.3014,0.3147,
,12,0.3827,0.3715,0.3184,0.3097,0.3096,
May,13,0.4137,0.3925,0.3595,0.3491,0.3082,
,14,0.4475,0.4131,0.4086,0.3954,0.3218,
,15,0.4834,0.43,0.4676,0.4696,0.3542,
Jun,16,0.5294,0.4486,0.531,0.5491,0.3955,
,17,0.5792,0.4771,0.5925,0.6158,0.4394,
,18,0.6301,0.5177,0.654,0.6653,0.4856,
Jul,19,0.6702,0.5638,0.7035,0.6897,0.5412,
,20,0.6926,0.6054,0.7202,0.6922,0.5984,
,21,0.6938,0.6403,0.7151,0.6804,0.6473,
Aug,22,0.686,0.6727,0.7031,0.6822,0.6862,
,23,0.6722,0.6951,0.6916,0.6936,0.7051,
,24,0.6526,0.7013,0.6817,0.6838,0.7203,
Sep,25,0.6328,0.6836,0.6597,0.6536,0.7099,
,26,0.6101,0.6588,0.636,0.6245,0.6871,
,27,0.5916,0.6319,0.6199,0.6184,,
Oct,28,0.5766,0.6092,0.6115,0.6195,,
,29,0.566,0.59,0.6031,0.613,,
,30,0.5549,0.5688,0.5869,0.6009,,
Nov,31,0.5403,0.5413,0.5583,0.5783,,
,32,0.5237,0.5101,0.5243,0.5498,,
,33,0.506,0.4758,0.4867,0.512,,
Dec,34,0.4864,0.4385,0.45,0.4689,,
,35,0.4635,0.4031,0.4194,0.4221,,
,36,0.4384,0.3715,0.3941,0.378,
