Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5274,0.5394,0.431,0.4791,0.4743,
,2,0.5022,0.5081,0.4076,0.456,0.4474,
,3,0.4777,0.4795,0.3875,0.4314,0.4275,
Feb,4,0.4532,0.4524,0.3708,0.4065,0.408,
,5,0.4322,0.4293,0.3572,0.3859,0.3961,
,6,0.4192,0.4118,0.3481,0.3684,0.3908,
Mar,7,0.4147,0.4068,0.3455,0.3549,0.391,
,8,0.4157,0.4133,0.3536,0.3421,0.4016,
,9,0.4202,0.4226,0.3708,0.3396,0.415,
Apr,10,0.4261,0.4294,0.3887,0.3466,0.4268,
,11,0.4426,0.4328,0.4096,0.3632,0.4308,
,12,0.4772,0.4491,0.4325,0.3921,0.4301,
May,13,0.5231,0.4866,0.458,0.4477,0.4342,
,14,0.5668,0.5441,0.4828,0.4926,0.4491,
,15,0.5931,0.5973,0.5028,0.5311,0.4795,
Jun,16,0.6026,0.6259,0.5266,0.5535,0.5205,
,17,0.5973,0.6326,0.5594,0.5681,0.567,
,18,0.6022,0.6305,0.5981,0.5832,0.6084,
Jul,19,0.6197,0.6223,0.6403,0.5981,0.6324,
,20,0.6442,0.6166,0.6672,0.6035,0.6396,
,21,0.6593,0.6169,0.6793,0.5954,0.641,
Aug,22,0.6588,0.6209,0.6801,0.5872,0.6414,
,23,0.6472,0.6286,0.6773,0.5944,0.6418,
,24,0.6381,0.6307,0.6776,0.5963,0.6459,
Sep,25,0.634,0.624,0.6767,0.5895,0.655,
,26,0.6362,0.6141,0.6717,0.588,0.6889,
,27,0.6413,0.6146,0.6629,0.608,,
Oct,28,0.646,0.6202,0.6648,0.6336,,
,29,0.6521,0.6256,0.6721,0.6575,,
,30,0.6579,0.6219,0.6748,0.6732,,
Nov,31,0.6577,0.6134,0.6652,0.6617,,
,32,0.6546,0.5967,0.6446,0.6384,,
,33,0.6475,0.5685,0.6077,0.6082,,
Dec,34,0.63,0.533,0.5699,0.576,,
,35,0.6038,0.4956,0.5349,0.5428,,
,36,0.5723,0.4606,0.5043,0.5074,
