Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3304,0.3625,0.3327,0.2924,0.3036,
,2,0.3144,0.335,0.3085,0.2835,0.2923,
,3,0.2983,0.3161,0.2889,0.2727,0.2842,
Feb,4,0.2817,0.3017,0.275,0.2619,0.2728,
,5,0.2693,0.2874,0.2602,0.2524,0.2632,
,6,0.2623,0.2739,0.2463,0.2449,0.2561,
Mar,7,0.2605,0.2635,0.2348,0.2395,0.2557,
,8,0.2614,0.2595,0.229,0.2347,0.2604,
,9,0.2631,0.2607,0.2301,0.233,0.2646,
Apr,10,0.2641,0.2677,0.2352,0.2339,0.2657,
,11,0.2719,0.2745,0.2437,0.2368,0.2628,
,12,0.2935,0.2842,0.2676,0.2429,0.2605,
May,13,0.3304,0.3009,0.3115,0.2725,0.2617,
,14,0.3778,0.3271,0.3677,0.3059,0.2703,
,15,0.4304,0.3606,0.4284,0.3541,0.2956,
Jun,16,0.4858,0.3999,0.4778,0.4168,0.3348,
,17,0.5342,0.4381,0.5153,0.4877,0.3822,
,18,0.5765,0.4789,0.5493,0.5551,0.4411,
Jul,19,0.6172,0.5244,0.5829,0.6099,0.5034,
,20,0.6545,0.5764,0.6158,0.6424,0.5667,
,21,0.6835,0.629,0.6545,0.6541,0.6275,
Aug,22,0.7061,0.6775,0.6896,0.6659,0.678,
,23,0.7141,0.7087,0.7143,0.6777,0.7096,
,24,0.7089,0.729,0.7173,0.6933,0.7292,
Sep,25,0.7027,0.7269,0.7037,0.7151,0.7281,
,26,0.6956,0.7221,0.6745,0.7132,0.7274,
,27,0.6895,0.7075,0.651,0.7063,,
Oct,28,0.6738,0.6889,0.6281,0.6782,,
,29,0.6446,0.6563,0.6034,0.6363,,
,30,0.6069,0.6199,0.5662,0.5823,,
Nov,31,0.5662,0.5805,0.5139,0.5246,,
,32,0.5302,0.5376,0.4528,0.4683,,
,33,0.4988,0.4938,0.3929,0.4195,,
Dec,34,0.4669,0.4483,0.3474,0.3811,,
,35,0.4321,0.4038,0.3189,0.3484,,
,36,0.3962,0.3641,0.3023,0.3217,
