Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3727,0.452,0.3857,0.338,0.3206,
,2,0.3531,0.4259,0.3644,0.3283,0.3094,
,3,0.3382,0.404,0.347,0.3138,0.3029,
Feb,4,0.3221,0.3853,0.3325,0.2981,0.2954,
,5,0.3108,0.3677,0.3166,0.2862,0.2889,
,6,0.3061,0.3524,0.2984,0.2795,0.283,
Mar,7,0.3074,0.3387,0.2801,0.2788,0.2842,
,8,0.3127,0.3363,0.2677,0.2772,0.2953,
,9,0.3192,0.3448,0.2687,0.2763,0.3085,
Apr,10,0.3287,0.3621,0.2822,0.2768,0.3163,
,11,0.3497,0.3788,0.3033,0.2797,0.3139,
,12,0.3895,0.3984,0.3411,0.2868,0.3085,
May,13,0.4464,0.422,0.3972,0.3387,0.3069,
,14,0.51,0.4541,0.4622,0.3992,0.319,
,15,0.5685,0.4877,0.5274,0.4921,0.3621,
Jun,16,0.6194,0.5189,0.5796,0.5906,0.4203,
,17,0.659,0.5465,0.6215,0.6642,0.4751,
,18,0.6897,0.5746,0.6612,0.7112,0.5263,
Jul,19,0.7177,0.6044,0.6963,0.7273,0.583,
,20,0.7394,0.6345,0.7186,0.7284,0.6461,
,21,0.7395,0.6653,0.7224,0.718,0.7017,
Aug,22,0.7324,0.6963,0.7239,0.7289,0.7512,
,23,0.7226,0.7219,0.7381,0.7393,0.7819,
,24,0.7095,0.7335,0.7532,0.7339,0.7964,
Sep,25,0.6975,0.7241,0.7506,0.7093,0.788,
,26,0.6842,0.7103,0.7312,0.6871,0.7705,
,27,0.6724,0.6923,0.7084,0.7012,,
Oct,28,0.6616,0.671,0.6855,0.6976,,
,29,0.6483,0.6464,0.6592,0.6754,,
,30,0.63,0.6183,0.6225,0.6391,,
Nov,31,0.6038,0.5878,0.5726,0.5947,,
,32,0.5769,0.5559,0.5149,0.551,,
,33,0.5517,0.5214,0.4562,0.5006,,
Dec,34,0.5274,0.4845,0.4058,0.4474,,
,35,0.5037,0.4478,0.3709,0.3918,,
,36,0.4791,0.4135,0.3499,0.3474,
