Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.2609,0.3139,0.2917,0.2873,0.3444,
,2,0.2527,0.2846,0.2708,0.2769,0.3163,
,3,0.2458,0.2668,0.2511,0.2666,0.2987,
Feb,4,0.2368,0.2566,0.2382,0.2576,0.2859,
,5,0.2314,0.2478,0.2275,0.2509,0.275,
,6,0.2323,0.241,0.2186,0.2439,0.2665,
Mar,7,0.2373,0.2371,0.2142,0.2382,0.2642,
,8,0.2419,0.2405,0.2152,0.2321,0.2659,
,9,0.2409,0.2492,0.2215,0.2297,0.2697,
Apr,10,0.235,0.2602,0.2257,0.2312,0.2744,
,11,0.2303,0.2676,0.2292,0.2372,0.2784,
,12,0.2418,0.2756,0.2487,0.2455,0.2811,
May,13,0.2738,0.2936,0.2974,0.2665,0.2876,
,14,0.3201,0.3297,0.3762,0.2913,0.3014,
,15,0.3639,0.3815,0.4705,0.3319,0.3275,
Jun,16,0.3939,0.4358,0.5524,0.3875,0.3722,
,17,0.4009,0.4775,0.6041,0.4467,0.435,
,18,0.4072,0.499,0.631,0.492,0.5158,
Jul,19,0.4421,0.5091,0.6449,0.5304,0.5981,
,20,0.5111,0.5269,0.6584,0.57,0.6593,
,21,0.6156,0.5593,0.6822,0.6095,0.6969,
Aug,22,0.702,0.6022,0.7172,0.663,0.716,
,23,0.7498,0.6476,0.7433,0.7036,0.7229,
,24,0.7497,0.6818,0.7485,0.7245,0.7477,
Sep,25,0.7396,0.7013,0.7419,0.7326,0.7449,
,26,0.7251,0.7081,0.7264,0.7215,0.7289,
,27,0.7197,0.7109,0.7058,0.7038,,
Oct,28,0.7097,0.7006,0.6872,0.6859,,
,29,0.6908,0.6815,0.6641,0.6705,,
,30,0.659,0.649,0.6308,0.6491,,
Nov,31,0.6137,0.6028,0.5824,0.6167,,
,32,0.5662,0.5429,0.5205,0.5739,,
,33,0.5139,0.4741,0.4491,0.5257,,
Dec,34,0.4584,0.4112,0.3845,0.4782,,
,35,0.4031,0.3601,0.3366,0.4312,,
,36,0.3538,0.3211,0.3069,0.3831,
