Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3041,0.3303,0.3296,0.2913,0.2883,
,2,0.2936,0.3096,0.3084,0.2808,0.2775,
,3,0.2841,0.2976,0.2891,0.267,0.2722,
Feb,4,0.2702,0.2873,0.2753,0.2552,0.2661,
,5,0.2596,0.2767,0.2606,0.246,0.2573,
,6,0.2553,0.2667,0.2458,0.2382,0.2476,
Mar,7,0.2567,0.2583,0.2338,0.2323,0.2441,
,8,0.2584,0.2551,0.2292,0.2259,0.247,
,9,0.2579,0.2556,0.2336,0.2213,0.2504,
Apr,10,0.2554,0.2578,0.241,0.2184,0.2522,
,11,0.2587,0.2606,0.2517,0.2178,0.2547,
,12,0.2862,0.2683,0.2758,0.2198,0.2586,
May,13,0.3408,0.2881,0.3247,0.2521,0.2668,
,14,0.4063,0.3176,0.393,0.2858,0.282,
,15,0.4649,0.3526,0.4717,0.329,0.3106,
Jun,16,0.5097,0.3857,0.5351,0.3808,0.3675,
,17,0.5372,0.4131,0.5751,0.4348,0.4537,
,18,0.5498,0.4375,0.5904,0.4717,0.5461,
Jul,19,0.5777,0.476,0.609,0.4926,0.6089,
,20,0.6203,0.5353,0.6345,0.5122,0.6467,
,21,0.6746,0.6045,0.6686,0.5435,0.6646,
Aug,22,0.7282,0.67,0.703,0.6148,0.6714,
,23,0.7588,0.714,0.7249,0.656,0.6769,
,24,0.7565,0.7391,0.7206,0.6686,0.6911,
Sep,25,0.7442,0.7465,0.7022,0.6786,0.6977,
,26,0.7324,0.749,0.6791,0.672,0.7248,
,27,0.7233,0.7448,0.663,0.6938,,
Oct,28,0.7105,0.7299,0.6564,0.7059,,
,29,0.6887,0.7021,0.6416,0.6925,,
,30,0.6539,0.6584,0.6059,0.6469,,
Nov,31,0.6042,0.6025,0.544,0.5803,,
,32,0.551,0.5403,0.4715,0.5092,,
,33,0.496,0.4786,0.4007,0.4437,,
Dec,34,0.4418,0.427,0.3518,0.3911,,
,35,0.3956,0.3876,0.3225,0.3494,,
,36,0.3592,0.3559,0.3057,0.3116,
