Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3528,0.3978,0.3165,0.3362,0.367,
,2,0.3264,0.3631,0.2916,0.3162,0.3355,
,3,0.3067,0.335,0.2705,0.3016,0.316,
Feb,4,0.2907,0.3148,0.2554,0.2916,0.3036,
,5,0.2806,0.2984,0.247,0.2864,0.3018,
,6,0.2799,0.288,0.2424,0.2809,0.3033,
Mar,7,0.2854,0.2851,0.2446,0.2748,0.308,
,8,0.2904,0.2899,0.2514,0.2677,0.3151,
,9,0.2921,0.2985,0.262,0.2658,0.3217,
Apr,10,0.2939,0.3052,0.2628,0.2696,0.3308,
,11,0.3042,0.3087,0.2724,0.2803,0.3397,
,12,0.3379,0.3289,0.3025,0.2943,0.3476,
May,13,0.3975,0.375,0.3671,0.3562,0.3637,
,14,0.4677,0.4515,0.4583,0.419,0.4024,
,15,0.5377,0.5421,0.567,0.4864,0.4731,
Jun,16,0.5912,0.6075,0.6384,0.553,0.5465,
,17,0.6197,0.6427,0.6779,0.6048,0.6012,
,18,0.6375,0.6575,0.6944,0.627,0.645,
Jul,19,0.6473,0.6599,0.7019,0.6386,0.689,
,20,0.6662,0.661,0.7038,0.6574,0.7276,
,21,0.6995,0.6779,0.7167,0.6953,0.7489,
Aug,22,0.7361,0.7089,0.7298,0.7452,0.7562,
,23,0.769,0.7463,0.7454,0.7772,0.7555,
,24,0.7781,0.7714,0.7674,0.7889,0.7737,
Sep,25,0.7615,0.7691,0.7785,0.7895,0.7598,
,26,0.7382,0.7471,0.7766,0.7737,0.7714,
,27,0.7246,0.7179,0.76,0.7604,,
Oct,28,0.7172,0.6852,0.7331,0.7446,,
,29,0.7102,0.657,0.7049,0.7257,,
,30,0.6904,0.6299,0.6723,0.6977,,
Nov,31,0.6568,0.597,0.6322,0.6568,,
,32,0.6117,0.5532,0.5813,0.6094,,
,33,0.5663,0.4974,0.5206,0.5601,,
Dec,34,0.5217,0.4393,0.4569,0.5109,,
,35,0.4777,0.3878,0.4047,0.4618,,
,36,0.436,0.3471,0.3662,0.4122,
