Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.2794,0.3359,0.3318,0.3133,0.3033,
,2,0.273,0.3128,0.3067,0.3001,0.2893,
,3,0.2632,0.2945,0.283,0.2875,0.28,
Feb,4,0.2537,0.2798,0.2641,0.2744,0.2701,
,5,0.2476,0.2648,0.2504,0.2641,0.2625,
,6,0.2486,0.2531,0.2404,0.254,0.2557,
Mar,7,0.2544,0.2453,0.2362,0.246,0.2532,
,8,0.26,0.2429,0.237,0.2382,0.2546,
,9,0.2602,0.2445,0.2437,0.2347,0.2574,
Apr,10,0.2582,0.2469,0.2443,0.2354,0.2606,
,11,0.2603,0.2485,0.2504,0.2424,0.266,
,12,0.2737,0.2694,0.2744,0.2493,0.2703,
May,13,0.3032,0.3148,0.326,0.2912,0.2811,
,14,0.3438,0.3819,0.3937,0.3478,0.3062,
,15,0.3948,0.4506,0.4689,0.4232,0.3529,
Jun,16,0.4433,0.4938,0.5168,0.512,0.4046,
,17,0.4796,0.5148,0.5394,0.5792,0.4545,
,18,0.4993,0.5321,0.5471,0.6054,0.5069,
Jul,19,0.5082,0.5501,0.5608,0.6162,0.5824,
,20,0.5195,0.5807,0.5867,0.6298,0.6542,
,21,0.5651,0.6099,0.6333,0.6597,0.6951,
Aug,22,0.6364,0.6448,0.6824,0.7077,0.7149,
,23,0.7125,0.6826,0.7277,0.7431,0.7238,
,24,0.7596,0.7172,0.7676,0.7593,0.7427,
Sep,25,0.766,0.7237,0.7881,0.7638,0.7366,
,26,0.758,0.7166,0.7854,0.751,0.7427,
,27,0.7456,0.7008,0.7636,0.7358,,
Oct,28,0.7307,0.6813,0.7303,0.7146,,
,29,0.7066,0.6542,0.6901,0.6826,,
,30,0.667,0.6207,0.6477,0.6344,,
Nov,31,0.6136,0.5795,0.5953,0.5748,,
,32,0.5497,0.5314,0.5356,0.5125,,
,33,0.4881,0.4798,0.4724,0.4554,,
Dec,34,0.4345,0.4317,0.411,0.4042,,
,35,0.3915,0.3914,0.3651,0.363,,
,36,0.3596,0.3588,0.3349,0.328,
