Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4187,0.4761,0.3689,0.3519,0.4584,
,2,0.3794,0.4253,0.3308,0.3222,0.4075,
,3,0.3525,0.3829,0.3009,0.3016,0.3665,
Feb,4,0.3293,0.3531,0.2792,0.2905,0.3323,
,5,0.3081,0.3302,0.2669,0.2893,0.3125,
,6,0.299,0.3136,0.2624,0.2878,0.3073,
Mar,7,0.3034,0.3078,0.2686,0.285,0.3153,
,8,0.3179,0.3158,0.2804,0.2797,0.3357,
,9,0.3371,0.3373,0.2947,0.2793,0.3538,
Apr,10,0.3527,0.3623,0.2966,0.2841,0.368,
,11,0.3685,0.3879,0.3106,0.2948,0.3763,
,12,0.4028,0.4269,0.3469,0.3118,0.3881,
May,13,0.4653,0.4922,0.4169,0.4153,0.4154,
,14,0.5463,0.5758,0.5163,0.5123,0.4767,
,15,0.6291,0.6659,0.6329,0.5969,0.5747,
Jun,16,0.6827,0.7243,0.7009,0.6415,0.657,
,17,0.703,0.7519,0.7349,0.6604,0.7055,
,18,0.7142,0.7664,0.746,0.6592,0.7328,
Jul,19,0.7199,0.7763,0.7534,0.6612,0.758,
,20,0.7236,0.786,0.768,0.6791,0.7844,
,21,0.7345,0.7884,0.7919,0.713,0.8024,
Aug,22,0.7541,0.7832,0.798,0.7415,0.8071,
,23,0.7758,0.7809,0.7914,0.7418,0.8004,
,24,0.7826,0.7814,0.7817,0.7385,0.7949,
Sep,25,0.7648,0.7787,0.7799,0.7518,0.7859,
,26,0.7526,0.7657,0.7829,0.7566,0.785,
,27,0.7529,0.7462,0.7792,0.7543,,
Oct,28,0.763,0.7248,0.7614,0.7544,,
,29,0.7617,0.7086,0.7359,0.758,,
,30,0.7462,0.692,0.7034,0.7523,,
Nov,31,0.718,0.6726,0.6651,0.7328,,
,32,0.6862,0.6388,0.6176,0.7029,,
,33,0.6544,0.5904,0.5588,0.6662,,
Dec,34,0.6194,0.5322,0.4952,0.627,,
,35,0.5769,0.4726,0.4385,0.5779,,
,36,0.5285,0.4161,0.392,0.5196,
