Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.299,0.3486,0.3453,0.3067,0.3644,
,2,0.2925,0.3295,0.3159,0.2961,0.3392,
,3,0.2853,0.3193,0.2895,0.281,0.3243,
Feb,4,0.2735,0.3111,0.2702,0.2663,0.3124,
,5,0.2643,0.3009,0.2511,0.2541,0.2972,
,6,0.2596,0.2907,0.2351,0.2443,0.2824,
Mar,7,0.2594,0.2816,0.2254,0.2361,0.2739,
,8,0.2599,0.2748,0.2251,0.2268,0.2724,
,9,0.259,0.269,0.2339,0.2199,0.2741,
Apr,10,0.2587,0.2648,0.2375,0.2153,0.2763,
,11,0.2681,0.2645,0.2497,0.2152,0.2787,
,12,0.2992,0.2729,0.281,0.2186,0.2789,
May,13,0.3522,0.2974,0.3333,0.243,0.2795,
,14,0.4093,0.3354,0.4054,0.272,0.2929,
,15,0.4593,0.3791,0.4886,0.32,0.3226,
Jun,16,0.5008,0.4096,0.5557,0.3844,0.3974,
,17,0.5443,0.4241,0.6176,0.4594,0.4986,
,18,0.5948,0.4288,0.667,0.5259,0.5911,
Jul,19,0.6519,0.4423,0.6993,0.585,0.6606,
,20,0.6965,0.478,0.719,0.6346,0.724,
,21,0.7294,0.5328,0.7389,0.6717,0.7581,
Aug,22,0.7488,0.5897,0.7591,0.7143,0.7645,
,23,0.7551,0.6338,0.7692,0.7283,0.7556,
,24,0.7438,0.6618,0.7556,0.7192,0.7576,
Sep,25,0.7333,0.6853,0.732,0.7039,0.7397,
,26,0.7248,0.7121,0.7094,0.6873,0.7532,
,27,0.7232,0.7369,0.6974,0.6964,,
Oct,28,0.7166,0.7449,0.6869,0.6979,,
,29,0.7002,0.7339,0.6644,0.6917,,
,30,0.6669,0.7063,0.614,0.6724,,
Nov,31,0.6208,0.6641,0.5386,0.6408,,
,32,0.5697,0.6055,0.456,0.6014,,
,33,0.5189,0.5395,0.3896,0.5538,,
Dec,34,0.4675,0.4772,0.3466,0.5047,,
,35,0.4188,0.424,0.3274,0.4544,,
,36,0.3787,0.3806,0.3165,0.4029,
