Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.2593,0.2981,0.2861,0.2781,0.2648,
,2,0.255,0.2811,0.2751,0.2689,0.2572,
,3,0.2489,0.2676,0.2626,0.2575,0.2516,
Feb,4,0.2396,0.2561,0.2508,0.2465,0.2443,
,5,0.2314,0.2471,0.2393,0.2373,0.235,
,6,0.2269,0.2401,0.2276,0.2294,0.2246,
Mar,7,0.2268,0.235,0.2174,0.2235,0.2195,
,8,0.2277,0.2333,0.2106,0.217,0.2205,
,9,0.2286,0.2333,0.208,0.2119,0.2216,
Apr,10,0.2268,0.2334,0.2078,0.2084,0.2202,
,11,0.2274,0.232,0.2125,0.2074,0.2182,
,12,0.2379,0.2317,0.2285,0.2091,0.2198,
May,13,0.264,0.2374,0.2619,0.2327,0.2235,
,14,0.2961,0.2496,0.3065,0.2627,0.2377,
,15,0.3246,0.2662,0.3513,0.299,0.2618,
Jun,16,0.347,0.2888,0.3803,0.332,0.2947,
,17,0.3615,0.3181,0.3976,0.3585,0.336,
,18,0.385,0.3546,0.4139,0.3837,0.3843,
Jul,19,0.4267,0.4019,0.4519,0.4154,0.4341,
,20,0.4871,0.4568,0.515,0.4522,0.4787,
,21,0.5504,0.5075,0.5976,0.5139,0.511,
Aug,22,0.6109,0.5602,0.6676,0.5819,0.5438,
,23,0.6566,0.6161,0.7082,0.6195,0.5818,
,24,0.681,0.6739,0.7161,0.6333,0.6111,
Sep,25,0.6845,0.701,0.7071,0.6365,0.64,
,26,0.6788,0.6931,0.6819,0.6197,0.6638,
,27,0.6616,0.664,0.6497,0.6049,,
Oct,28,0.6384,0.6209,0.6099,0.5894,,
,29,0.6086,0.5757,0.5603,0.5598,,
,30,0.5696,0.529,0.5029,0.5077,,
Nov,31,0.5186,0.4798,0.4409,0.4452,,
,32,0.4602,0.4283,0.3866,0.3813,,
,33,0.4053,0.3789,0.3441,0.3326,,
Dec,34,0.3614,0.3395,0.3156,0.3023,,
,35,0.3326,0.3145,0.2986,0.2866,,
,36,0.3133,0.2986,0.2885,0.2728,
