Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.2634,0.3042,0.3019,0.2847,0.272,
,2,0.2592,0.2848,0.2867,0.2752,0.2655,
,3,0.2526,0.2706,0.2713,0.263,0.2616,
Feb,4,0.2441,0.2581,0.2593,0.2521,0.256,
,5,0.2385,0.2474,0.2469,0.2436,0.2489,
,6,0.2377,0.2384,0.2339,0.2359,0.2416,
Mar,7,0.2406,0.2314,0.2234,0.2301,0.2385,
,8,0.2432,0.2289,0.2178,0.2237,0.2399,
,9,0.2412,0.2295,0.219,0.2196,0.2422,
Apr,10,0.2363,0.2319,0.2229,0.2183,0.243,
,11,0.2341,0.2348,0.2303,0.2205,0.2449,
,12,0.2401,0.2427,0.2487,0.2264,0.2488,
May,13,0.2603,0.2613,0.2833,0.2515,0.2544,
,14,0.2909,0.2903,0.3281,0.2875,0.2692,
,15,0.3252,0.3285,0.3744,0.3377,0.2926,
Jun,16,0.3688,0.3714,0.3991,0.4007,0.3265,
,17,0.4186,0.4166,0.4094,0.46,0.3753,
,18,0.4712,0.4555,0.4165,0.4937,0.4373,
Jul,19,0.5252,0.4971,0.4537,0.5201,0.5042,
,20,0.5781,0.5393,0.5193,0.5491,0.5588,
,21,0.6277,0.5868,0.6123,0.5975,0.5824,
Aug,22,0.6752,0.6394,0.6809,0.6504,0.5833,
,23,0.7166,0.7021,0.7242,0.6825,0.579,
,24,0.7442,0.7409,0.7354,0.6924,0.5792,
Sep,25,0.7549,0.7515,0.7301,0.709,0.5952,
,26,0.7563,0.7424,0.7112,0.7107,0.6168,
,27,0.7482,0.7294,0.6885,0.7064,,
Oct,28,0.7287,0.7033,0.6668,0.6995,,
,29,0.6962,0.6715,0.6372,0.6763,,
,30,0.6504,0.6243,0.5964,0.6329,,
Nov,31,0.588,0.5637,0.5358,0.5649,,
,32,0.5168,0.4969,0.4668,0.4813,,
,33,0.4485,0.4317,0.3998,0.4055,,
Dec,34,0.3903,0.3805,0.3475,0.3458,,
,35,0.3499,0.3456,0.3148,0.3071,,
,36,0.3234,0.3209,0.2984,0.2825,
