Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5095,0.5637,0.4093,0.5461,0.525,
,2,0.4845,0.53,0.3661,0.5126,0.5003,
,3,0.4623,0.4952,0.3267,0.4775,0.4769,
Feb,4,0.4375,0.4629,0.2934,0.4441,0.4497,
,5,0.4089,0.4324,0.2701,0.4131,0.4282,
,6,0.3879,0.4063,0.2568,0.3853,0.4148,
Mar,7,0.3763,0.3902,0.2574,0.3629,0.4122,
,8,0.3725,0.3872,0.2662,0.3417,0.4126,
,9,0.3727,0.3934,0.2788,0.3296,0.4074,
Apr,10,0.3724,0.3982,0.2758,0.3264,0.4002,
,11,0.3782,0.3919,0.2835,0.3308,0.3925,
,12,0.4013,0.3931,0.3077,0.3423,0.3939,
May,13,0.444,0.4099,0.3746,0.4103,0.4112,
,14,0.495,0.4616,0.4859,0.4801,0.4596,
,15,0.5442,0.535,0.6253,0.5649,0.5314,
Jun,16,0.5781,0.6038,0.7163,0.6422,0.5935,
,17,0.5971,0.6495,0.7546,0.6938,0.6385,
,18,0.611,0.6768,0.7509,0.7127,0.683,
Jul,19,0.6335,0.6831,0.7282,0.7127,0.7291,
,20,0.6658,0.6949,0.7146,0.7128,0.7535,
,21,0.7049,0.7105,0.722,0.7187,0.7572,
Aug,22,0.7339,0.7257,0.7307,0.735,0.7522,
,23,0.7589,0.7342,0.7384,0.7591,0.7451,
,24,0.7607,0.7376,0.7399,0.7691,0.7416,
Sep,25,0.7407,0.7307,0.7384,0.7639,0.7333,
,26,0.7188,0.7091,0.7384,0.7464,0.7255,
,27,0.7052,0.6887,0.7332,0.7255,,
Oct,28,0.7038,0.6736,0.7202,0.7105,,
,29,0.7058,0.6649,0.7063,0.6991,,
,30,0.7024,0.6564,0.6921,0.6883,,
Nov,31,0.6893,0.6431,0.6767,0.6735,,
,32,0.6692,0.6188,0.6609,0.6553,,
,33,0.6504,0.5846,0.6434,0.6334,,
Dec,34,0.6319,0.5453,0.6232,0.6106,,
,35,0.6136,0.5018,0.6018,0.583,,
,36,0.5913,0.4551,0.5769,0.5531,
