Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3129,0.3442,0.3392,0.302,0.3562,
,2,0.3028,0.3251,0.3094,0.2964,0.3313,
,3,0.2924,0.3144,0.2832,0.2857,0.3182,
Feb,4,0.2789,0.3056,0.267,0.2751,0.3081,
,5,0.2689,0.2941,0.2528,0.2664,0.298,
,6,0.2651,0.284,0.2427,0.2582,0.2897,
Mar,7,0.2664,0.2768,0.238,0.2508,0.2867,
,8,0.2676,0.2739,0.2392,0.2427,0.2895,
,9,0.2685,0.2731,0.2461,0.2373,0.2933,
Apr,10,0.2683,0.2738,0.2471,0.2344,0.2962,
,11,0.2771,0.2732,0.2554,0.2354,0.297,
,12,0.3129,0.2802,0.2877,0.238,0.2975,
May,13,0.3775,0.3039,0.3604,0.2727,0.3015,
,14,0.448,0.3463,0.4606,0.3167,0.3134,
,15,0.5097,0.4042,0.5691,0.3829,0.3418,
Jun,16,0.5503,0.4627,0.646,0.469,0.397,
,17,0.5659,0.5031,0.6885,0.5535,0.4691,
,18,0.5774,0.528,0.7024,0.6148,0.5391,
Jul,19,0.5993,0.5452,0.7087,0.6599,0.5891,
,20,0.6371,0.5708,0.7178,0.6886,0.6277,
,21,0.6899,0.6033,0.7339,0.7047,0.6755,
Aug,22,0.7333,0.638,0.7556,0.7175,0.722,
,23,0.7549,0.6679,0.7688,0.7179,0.756,
,24,0.747,0.6911,0.7612,0.72,0.7825,
Sep,25,0.7385,0.706,0.7402,0.724,0.7867,
,26,0.7339,0.7268,0.7192,0.7161,0.7991,
,27,0.7333,0.7475,0.7031,0.7097,,
Oct,28,0.7235,0.7526,0.6927,0.6943,,
,29,0.6993,0.7345,0.6741,0.676,,
,30,0.66,0.6994,0.636,0.6483,,
Nov,31,0.6102,0.6517,0.571,0.6131,,
,32,0.562,0.5945,0.4904,0.5736,,
,33,0.513,0.5322,0.4097,0.5302,,
Dec,34,0.4635,0.4736,0.3509,0.4888,,
,35,0.4147,0.4214,0.3198,0.4447,,
,36,0.3744,0.3764,0.3076,0.3952,
