Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.2392,0.283,0.2682,0.2549,0.247,
,2,0.2363,0.2644,0.2567,0.2462,0.2405,
,3,0.2312,0.25,0.2457,0.2382,0.2358,
Feb,4,0.2256,0.2385,0.2366,0.2308,0.2297,
,5,0.2225,0.2298,0.2283,0.2253,0.2231,
,6,0.223,0.2253,0.2201,0.2191,0.2159,
Mar,7,0.2255,0.2238,0.2131,0.2137,0.2137,
,8,0.2274,0.2255,0.2087,0.2066,0.2153,
,9,0.2263,0.227,0.2068,0.2015,0.2172,
Apr,10,0.2235,0.2259,0.2055,0.1984,0.2171,
,11,0.2219,0.2212,0.2079,0.1999,0.2158,
,12,0.2255,0.2182,0.2201,0.2042,0.2168,
May,13,0.2391,0.2228,0.2432,0.2267,0.2203,
,14,0.2608,0.2332,0.2716,0.2595,0.2357,
,15,0.2904,0.253,0.2934,0.3024,0.2592,
Jun,16,0.3217,0.2792,0.2998,0.3431,0.2849,
,17,0.3486,0.312,0.2971,0.367,0.3138,
,18,0.3729,0.3493,0.3028,0.3841,0.3508,
Jul,19,0.4045,0.387,0.3372,0.4061,0.4012,
,20,0.4423,0.4184,0.3987,0.4384,0.4548,
,21,0.4859,0.4494,0.4802,0.4835,0.4956,
Aug,22,0.5268,0.4939,0.5411,0.5273,0.5266,
,23,0.561,0.5523,0.5789,0.5596,0.5493,
,24,0.5877,0.6079,0.5964,0.5782,0.5637,
Sep,25,0.605,0.6281,0.6051,0.5886,0.5761,
,26,0.6192,0.6209,0.5995,0.5751,0.5789,
,27,0.6266,0.5971,0.5857,0.5525,,
Oct,28,0.6268,0.5659,0.5589,0.5387,,
,29,0.6137,0.5318,0.5228,0.5202,,
,30,0.5869,0.4958,0.4804,0.4833,,
Nov,31,0.5421,0.452,0.4297,0.4266,,
,32,0.4802,0.4032,0.3811,0.3646,,
,33,0.4174,0.3566,0.3391,0.3169,,
Dec,34,0.3643,0.3199,0.305,0.2842,,
,35,0.3262,0.2959,0.282,0.2676,,
,36,0.3006,0.2804,0.2673,0.2557,
