Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4693,0.567,0.3621,0.4898,0.5019,
,2,0.4353,0.5327,0.3226,0.4492,0.4687,
,3,0.4076,0.4977,0.2928,0.4103,0.444,
Feb,4,0.3839,0.4663,0.2768,0.3781,0.4232,
,5,0.3653,0.438,0.2676,0.3535,0.4029,
,6,0.355,0.4132,0.2596,0.3344,0.3886,
Mar,7,0.3482,0.3949,0.2576,0.3229,0.3829,
,8,0.3419,0.385,0.2619,0.3125,0.3808,
,9,0.3356,0.3833,0.2716,0.3088,0.3789,
Apr,10,0.3292,0.3854,0.2767,0.3121,0.3766,
,11,0.3369,0.3814,0.294,0.3218,0.3743,
,12,0.368,0.3957,0.3375,0.3358,0.3787,
May,13,0.4288,0.4392,0.4183,0.3963,0.3992,
,14,0.4928,0.5253,0.5349,0.4707,0.452,
,15,0.5506,0.6275,0.666,0.5646,0.5358,
Jun,16,0.5776,0.7134,0.7477,0.6416,0.6108,
,17,0.5779,0.7507,0.78,0.6951,0.6624,
,18,0.5746,0.7617,0.778,0.7268,0.7063,
Jul,19,0.5873,0.7498,0.7644,0.7377,0.7462,
,20,0.6172,0.7468,0.7599,0.7453,0.77,
,21,0.6637,0.7467,0.7608,0.744,0.7758,
Aug,22,0.7143,0.7434,0.7653,0.7382,0.7697,
,23,0.7568,0.7457,0.7692,0.7532,0.7612,
,24,0.7799,0.7498,0.7668,0.7734,0.7694,
Sep,25,0.7698,0.751,0.7615,0.7847,0.7522,
,26,0.7578,0.7389,0.753,0.7757,0.7585,
,27,0.747,0.7218,0.7367,0.7593,,
Oct,28,0.7416,0.6988,0.7244,0.742,,
,29,0.7353,0.6795,0.7153,0.7254,,
,30,0.725,0.6615,0.7065,0.7085,,
Nov,31,0.7057,0.6404,0.6928,0.6882,,
,32,0.6867,0.6087,0.6714,0.6644,,
,33,0.6662,0.566,0.6396,0.6377,,
Dec,34,0.6451,0.5172,0.6048,0.6107,,
,35,0.6224,0.4651,0.5683,0.5783,,
,36,0.5968,0.4112,0.5297,0.5391,
