Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.322,0.3225,0.3055,0.3065,0.2933,
,2,0.3081,0.3032,0.2943,0.2938,0.2852,
,3,0.2958,0.2925,0.2838,0.2794,0.2814,
Feb,4,0.2823,0.283,0.2729,0.2658,0.2744,
,5,0.2728,0.2709,0.2609,0.255,0.2654,
,6,0.2684,0.2571,0.2472,0.2475,0.2552,
Mar,7,0.2701,0.2431,0.2321,0.2435,0.2517,
,8,0.2757,0.2361,0.2189,0.2392,0.2571,
,9,0.278,0.2365,0.2171,0.2383,0.2631,
Apr,10,0.2817,0.2434,0.2274,0.2401,0.2645,
,11,0.2917,0.2525,0.2436,0.2453,0.2618,
,12,0.3196,0.2677,0.2632,0.2571,0.2601,
May,13,0.3672,0.2908,0.2818,0.2904,0.2639,
,14,0.4273,0.3248,0.3019,0.3304,0.2808,
,15,0.4801,0.3678,0.3354,0.3978,0.3133,
Jun,16,0.5217,0.4208,0.3867,0.4796,0.3789,
,17,0.5485,0.4799,0.4533,0.5523,0.4659,
,18,0.5684,0.5421,0.533,0.6044,0.5535,
Jul,19,0.5956,0.597,0.616,0.6345,0.628,
,20,0.6335,0.6388,0.6896,0.6567,0.6796,
,21,0.6813,0.6685,0.7351,0.6721,0.7182,
Aug,22,0.7179,0.6991,0.7551,0.701,0.7501,
,23,0.7328,0.7259,0.7642,0.723,0.7646,
,24,0.7259,0.7447,0.765,0.7218,0.767,
Sep,25,0.7217,0.7403,0.7544,0.7151,0.7646,
,26,0.717,0.7286,0.7368,0.7002,0.7291,
,27,0.707,0.7037,0.7116,0.7064,,
Oct,28,0.684,0.669,0.6757,0.6923,,
,29,0.6487,0.6203,0.63,0.6538,,
,30,0.5995,0.5629,0.5743,0.594,,
Nov,31,0.5444,0.5019,0.5123,0.5298,,
,32,0.4914,0.443,0.4536,0.472,,
,33,0.4459,0.3946,0.4031,0.4215,,
Dec,34,0.4069,0.3584,0.3644,0.3789,,
,35,0.376,0.3334,0.3383,0.3393,,
,36,0.3476,0.3176,0.321,0.3107,
