Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4622,0.456,0.3614,0.4049,0.3945,
,2,0.4431,0.4296,0.3402,0.3861,0.375,
,3,0.4243,0.409,0.3221,0.3644,0.3586,
Feb,4,0.4047,0.392,0.3079,0.3415,0.3412,
,5,0.3885,0.3738,0.2953,0.3217,0.3257,
,6,0.377,0.3547,0.282,0.3083,0.3126,
Mar,7,0.369,0.3395,0.2687,0.3029,0.3074,
,8,0.3654,0.3343,0.257,0.2986,0.3128,
,9,0.3661,0.3386,0.2586,0.2971,0.3216,
Apr,10,0.3751,0.3518,0.2742,0.2981,0.3293,
,11,0.3972,0.3693,0.2974,0.3015,0.3303,
,12,0.4326,0.3898,0.3291,0.3087,0.3294,
May,13,0.4744,0.4178,0.3678,0.3333,0.3403,
,14,0.5123,0.4527,0.4045,0.3615,0.3686,
,15,0.5421,0.4851,0.447,0.4063,0.4235,
Jun,16,0.565,0.512,0.4928,0.4582,0.4821,
,17,0.5909,0.5368,0.5393,0.5135,0.5278,
,18,0.6227,0.5649,0.5864,0.5699,0.5629,
Jul,19,0.659,0.5951,0.6298,0.6168,0.5979,
,20,0.6846,0.6247,0.6556,0.6501,0.6359,
,21,0.6952,0.6546,0.6673,0.6697,0.6618,
Aug,22,0.6973,0.6872,0.6716,0.6955,0.6834,
,23,0.6976,0.715,0.6829,0.7127,0.7014,
,24,0.6889,0.7218,0.6889,0.7085,0.722,
Sep,25,0.6767,0.7066,0.6814,0.6907,0.7181,
,26,0.6661,0.6744,0.6617,0.6667,0.7091,
,27,0.6619,0.6378,0.6415,0.6531,,
Oct,28,0.6557,0.6091,0.6246,0.6404,,
,29,0.648,0.5916,0.6113,0.6266,,
,30,0.6332,0.5768,0.5935,0.6121,,
Nov,31,0.611,0.5572,0.5677,0.5896,,
,32,0.5895,0.5252,0.5373,0.5603,,
,33,0.5679,0.4855,0.5057,0.5249,,
Dec,34,0.5446,0.4452,0.4748,0.4864,,
,35,0.5173,0.4112,0.4482,0.4491,,
,36,0.4867,0.3843,0.4241,0.4184,
