Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3856,0.4011,0.3185,0.3116,0.3125,
,2,0.3637,0.3741,0.3032,0.2993,0.2984,
,3,0.342,0.3542,0.2899,0.2853,0.2887,
Feb,4,0.3219,0.3374,0.2794,0.2721,0.2774,
,5,0.3078,0.3198,0.2689,0.2619,0.2678,
,6,0.2997,0.2988,0.2571,0.2553,0.2617,
Mar,7,0.2964,0.2819,0.2457,0.2536,0.2615,
,8,0.2985,0.2737,0.2356,0.2521,0.2701,
,9,0.3007,0.2756,0.2364,0.2528,0.2791,
Apr,10,0.3101,0.2856,0.2488,0.2556,0.2842,
,11,0.3344,0.2981,0.2672,0.2624,0.2849,
,12,0.3742,0.3122,0.2882,0.272,0.2857,
May,13,0.4225,0.3347,0.3107,0.2817,0.2939,
,14,0.4699,0.3658,0.3348,0.2972,0.3145,
,15,0.5057,0.3981,0.366,0.3295,0.3647,
Jun,16,0.5323,0.4269,0.4058,0.3783,0.4245,
,17,0.5593,0.4525,0.4477,0.4477,0.4712,
,18,0.5897,0.4813,0.4921,0.517,0.5032,
Jul,19,0.6196,0.5151,0.5322,0.5676,0.5367,
,20,0.638,0.5543,0.5667,0.5969,0.5803,
,21,0.6452,0.5959,0.5915,0.6147,0.6176,
Aug,22,0.6502,0.6384,0.6073,0.6402,0.6438,
,23,0.6526,0.6711,0.6186,0.657,0.658,
,24,0.6432,0.6791,0.6207,0.6502,0.6639,
Sep,25,0.6276,0.6649,0.6142,0.6352,0.6624,
,26,0.6121,0.6319,0.6032,0.6097,0.6414,
,27,0.599,0.5907,0.5897,0.6,,
Oct,28,0.5904,0.5568,0.5725,0.5853,,
,29,0.5823,0.5334,0.5512,0.5641,,
,30,0.5647,0.5155,0.5201,0.5411,,
Nov,31,0.5415,0.4942,0.4828,0.5127,,
,32,0.5203,0.4614,0.4432,0.4809,,
,33,0.5023,0.4218,0.4041,0.443,,
Dec,34,0.4845,0.3841,0.3708,0.4022,,
,35,0.462,0.3539,0.3453,0.3613,,
,36,0.4325,0.3336,0.3259,0.3319,
