Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4003,0.4152,0.2968,0.3554,0.3262,
,2,0.3758,0.3841,0.2747,0.3307,0.3009,
,3,0.3567,0.3611,0.2601,0.3069,0.284,
Feb,4,0.3344,0.3398,0.2514,0.2849,0.2745,
,5,0.3166,0.3193,0.2447,0.2699,0.2732,
,6,0.3018,0.3001,0.2373,0.261,0.2781,
Mar,7,0.2932,0.2922,0.2299,0.2593,0.2868,
,8,0.2971,0.2978,0.229,0.2603,0.2971,
,9,0.3171,0.311,0.2381,0.262,0.3026,
Apr,10,0.3481,0.326,0.2537,0.2645,0.3,
,11,0.3955,0.3463,0.2837,0.2675,0.288,
,12,0.4537,0.3789,0.3287,0.2708,0.2803,
May,13,0.5208,0.4328,0.3849,0.2927,0.2951,
,14,0.5807,0.5013,0.4428,0.321,0.3308,
,15,0.6289,0.5646,0.4929,0.3642,0.397,
Jun,16,0.6569,0.6053,0.5308,0.4274,0.4756,
,17,0.6709,0.6256,0.5773,0.5079,0.5435,
,18,0.6814,0.6365,0.6299,0.6079,0.599,
Jul,19,0.6969,0.6421,0.6851,0.6733,0.6435,
,20,0.7118,0.6493,0.7222,0.6949,0.6786,
,21,0.7202,0.662,0.7339,0.6985,0.6972,
Aug,22,0.7206,0.6832,0.7291,0.7006,0.7063,
,23,0.7157,0.7097,0.7221,0.7075,0.7207,
,24,0.7072,0.7225,0.7156,0.7106,0.7326,
Sep,25,0.6922,0.7059,0.7002,0.7101,0.7358,
,26,0.6774,0.6693,0.6839,0.6991,0.7474,
,27,0.6632,0.6271,0.6679,0.6892,,
Oct,28,0.646,0.5945,0.6573,0.6767,,
,29,0.6269,0.5768,0.6471,0.6612,,
,30,0.6092,0.5655,0.6296,0.6343,,
Nov,31,0.5904,0.5483,0.6011,0.5963,,
,32,0.5779,0.5175,0.5637,0.5536,,
,33,0.5631,0.4726,0.5165,0.5055,,
Dec,34,0.5363,0.4209,0.4669,0.4582,,
,35,0.4976,0.3709,0.4231,0.4091,,
,36,0.4558,0.3285,0.3851,0.3627,
