Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4196,0.4148,0.3497,0.3686,0.3709,
,2,0.3973,0.3842,0.3266,0.3534,0.3477,
,3,0.3791,0.3632,0.31,0.3366,0.3297,
Feb,4,0.3603,0.3471,0.2989,0.3186,0.3143,
,5,0.3468,0.3319,0.291,0.3045,0.3046,
,6,0.3382,0.3167,0.2827,0.2955,0.3004,
Mar,7,0.334,0.3079,0.2751,0.2935,0.3058,
,8,0.3383,0.31,0.2703,0.293,0.3187,
,9,0.3502,0.318,0.2769,0.2942,0.3298,
Apr,10,0.369,0.3326,0.2946,0.297,0.3355,
,11,0.3991,0.3547,0.3211,0.3013,0.3361,
,12,0.4419,0.3857,0.3588,0.3081,0.3446,
May,13,0.4923,0.4273,0.4032,0.3371,0.3673,
,14,0.5439,0.475,0.4448,0.3775,0.4083,
,15,0.5883,0.5139,0.4881,0.4369,0.4743,
Jun,16,0.6207,0.5398,0.5331,0.5016,0.5356,
,17,0.6425,0.5576,0.5821,0.5631,0.5763,
,18,0.66,0.5773,0.6326,0.6182,0.6035,
Jul,19,0.6773,0.5992,0.6768,0.6555,0.6297,
,20,0.6916,0.62,0.701,0.6754,0.6639,
,21,0.6965,0.6416,0.7109,0.6844,0.6865,
Aug,22,0.6944,0.6681,0.7114,0.6975,0.7007,
,23,0.6906,0.695,0.7109,0.7057,0.7075,
,24,0.6811,0.7064,0.7047,0.6974,0.7152,
Sep,25,0.6701,0.6954,0.6882,0.6779,0.7108,
,26,0.6614,0.6707,0.6695,0.6538,0.7143,
,27,0.6557,0.6425,0.6557,0.6382,,
Oct,28,0.6491,0.6176,0.6496,0.63,,
,29,0.6399,0.6003,0.6427,0.624,,
,30,0.6264,0.5845,0.6254,0.6172,,
Nov,31,0.6076,0.5644,0.594,0.5981,,
,32,0.5905,0.5358,0.5527,0.5676,,
,33,0.5696,0.4982,0.5031,0.528,,
Dec,34,0.5402,0.4557,0.4555,0.4838,,
,35,0.5006,0.4155,0.4174,0.4393,,
,36,0.457,0.3793,0.3879,0.4009,
