Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3815,0.3933,0.3479,0.367,0.3591,
,2,0.3655,0.3749,0.3297,0.3646,0.3564,
,3,0.3617,0.3724,0.3238,0.3603,0.3585,
Feb,4,0.3604,0.372,0.3264,0.3586,0.3586,
,5,0.365,0.3725,0.3288,0.3595,0.3608,
,6,0.3713,0.3727,0.3275,0.3607,0.3729,
Mar,7,0.3806,0.3791,0.3253,0.363,0.3953,
,8,0.4004,0.3938,0.3271,0.3633,0.4246,
,9,0.4298,0.4101,0.3445,0.3689,0.4561,
Apr,10,0.4715,0.4269,0.3766,0.3799,0.4746,
,11,0.5312,0.4506,0.4261,0.3979,0.4804,
,12,0.603,0.4852,0.4916,0.4219,0.4884,
May,13,0.6716,0.5329,0.5617,0.4966,0.5077,
,14,0.7261,0.5888,0.6212,0.56,0.5426,
,15,0.7608,0.6358,0.6656,0.6201,0.5945,
Jun,16,0.7723,0.672,0.6975,0.6637,0.6471,
,17,0.7732,0.7011,0.7249,0.6969,0.6799,
,18,0.7729,0.7253,0.751,0.735,0.6985,
Jul,19,0.7711,0.7429,0.773,0.7623,0.7043,
,20,0.7745,0.7567,0.7885,0.7762,0.7078,
,21,0.7782,0.7693,0.796,0.7806,0.7153,
Aug,22,0.7779,0.781,0.7962,0.787,0.7386,
,23,0.7725,0.7898,0.7889,0.787,0.7698,
,24,0.7604,0.7866,0.7748,0.7722,0.7838,
Sep,25,0.7428,0.7678,0.7514,0.7505,0.7833,
,26,0.7206,0.7356,0.7278,0.726,0.7712,
,27,0.699,0.6982,0.7056,0.7072,,
Oct,28,0.6762,0.665,0.6844,0.6894,,
,29,0.6543,0.6401,0.6632,0.671,,
,30,0.6318,0.6203,0.6381,0.653,,
Nov,31,0.6082,0.5987,0.6035,0.6252,,
,32,0.5831,0.5681,0.5584,0.5859,,
,33,0.5544,0.5247,0.5018,0.5335,,
Dec,34,0.5168,0.4745,0.4459,0.4749,,
,35,0.472,0.4235,0.4027,0.414,,
,36,0.4278,0.3798,0.3766,0.3762,
