Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4369,0.435,0.3525,0.3938,0.3575,
,2,0.4152,0.4094,0.336,0.3762,0.3421,
,3,0.3936,0.3919,0.3226,0.3557,0.3291,
Feb,4,0.3722,0.3758,0.3112,0.3339,0.3141,
,5,0.3547,0.3566,0.2986,0.3147,0.3005,
,6,0.3417,0.3346,0.283,0.2989,0.2892,
Mar,7,0.3325,0.314,0.2648,0.2874,0.2846,
,8,0.3272,0.3007,0.2486,0.2753,0.2873,
,9,0.3219,0.2965,0.2444,0.2678,0.2925,
Apr,10,0.3218,0.3016,0.2525,0.2643,0.2942,
,11,0.3327,0.3087,0.2681,0.2663,0.2904,
,12,0.3573,0.3179,0.287,0.2731,0.2861,
May,13,0.3904,0.332,0.3069,0.2997,0.2891,
,14,0.4234,0.3569,0.3312,0.3269,0.3066,
,15,0.4468,0.391,0.366,0.3743,0.3421,
Jun,16,0.4637,0.4391,0.4121,0.434,0.3952,
,17,0.4825,0.4986,0.4654,0.505,0.4575,
,18,0.5116,0.5635,0.521,0.5691,0.5163,
Jul,19,0.5526,0.6109,0.5752,0.6195,0.5698,
,20,0.5986,0.6385,0.6269,0.646,0.6119,
,21,0.64,0.6563,0.6634,0.6574,0.6449,
Aug,22,0.6715,0.6789,0.6871,0.6793,0.6702,
,23,0.6834,0.7023,0.7021,0.7,0.6853,
,24,0.6747,0.7093,0.7045,0.6924,0.6936,
Sep,25,0.6547,0.6921,0.6849,0.6627,0.6862,
,26,0.6345,0.6634,0.6555,0.6303,0.6592,
,27,0.6177,0.628,0.6276,0.6212,,
Oct,28,0.6131,0.6007,0.6082,0.6102,,
,29,0.6103,0.5771,0.5929,0.5917,,
,30,0.6021,0.5526,0.5719,0.5668,,
Nov,31,0.585,0.5229,0.5429,0.5385,,
,32,0.5675,0.4896,0.5122,0.5091,,
,33,0.549,0.4554,0.4823,0.4751,,
Dec,34,0.5268,0.4233,0.4547,0.4395,,
,35,0.4987,0.3949,0.4317,0.404,,
,36,0.4672,0.3721,0.4111,0.3769,
