Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3728,0.3827,0.3414,0.3609,0.3524,
,2,0.3658,0.368,0.3304,0.3533,0.3457,
,3,0.3608,0.3625,0.3247,0.3448,0.3425,
Feb,4,0.3548,0.3581,0.3213,0.3376,0.3381,
,5,0.3534,0.3537,0.3161,0.3343,0.3354,
,6,0.3571,0.3468,0.3065,0.335,0.3416,
Mar,7,0.3649,0.3448,0.2993,0.3402,0.3573,
,8,0.381,0.3522,0.295,0.344,0.3824,
,9,0.4033,0.3661,0.3128,0.3521,0.4075,
Apr,10,0.438,0.3851,0.3522,0.3639,0.4264,
,11,0.4918,0.4132,0.4076,0.3814,0.4386,
,12,0.5616,0.4482,0.4723,0.4024,0.4547,
May,13,0.6333,0.4925,0.5406,0.4438,0.4811,
,14,0.6927,0.5433,0.5962,0.4807,0.519,
,15,0.7349,0.5886,0.6452,0.5255,0.5802,
Jun,16,0.7592,0.6282,0.6854,0.5727,0.6409,
,17,0.7726,0.666,0.7168,0.6268,0.6791,
,18,0.7798,0.702,0.7439,0.6843,0.6998,
Jul,19,0.7778,0.7346,0.7668,0.7279,0.7192,
,20,0.7749,0.7597,0.7855,0.7505,0.7438,
,21,0.7738,0.7797,0.7973,0.7635,0.7608,
Aug,22,0.7786,0.7961,0.8027,0.774,0.7749,
,23,0.7817,0.8065,0.8009,0.7786,0.786,
,24,0.7737,0.8033,0.7925,0.768,0.7918,
Sep,25,0.7498,0.7867,0.7722,0.7563,0.7897,
,26,0.7156,0.757,0.7437,0.7368,0.7804,
,27,0.6752,0.7162,0.711,0.7216,,
Oct,28,0.6423,0.6767,0.6764,0.6966,,
,29,0.6143,0.641,0.6405,0.6626,,
,30,0.5896,0.6096,0.6025,0.6305,,
Nov,31,0.5655,0.5782,0.56,0.5944,,
,32,0.5375,0.5395,0.5135,0.5533,,
,33,0.5063,0.4904,0.4659,0.5031,,
Dec,34,0.4721,0.4394,0.4234,0.449,,
,35,0.4378,0.3942,0.3909,0.3963,,
,36,0.4066,0.3615,0.3714,0.3652,
