Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3551,0.3664,0.3514,0.3587,0.3427,
,2,0.3593,0.3606,0.338,0.3613,0.3436,
,3,0.3691,0.3658,0.3341,0.3687,0.3489,
Feb,4,0.3772,0.3745,0.3355,0.3752,0.354,
,5,0.3844,0.3817,0.3385,0.379,0.3572,
,6,0.391,0.3842,0.34,0.38,0.3646,
Mar,7,0.3973,0.386,0.3415,0.3796,0.377,
,8,0.4051,0.3902,0.3471,0.3756,0.3917,
,9,0.4146,0.3983,0.3602,0.3751,0.4026,
Apr,10,0.4311,0.4066,0.3793,0.3781,0.4062,
,11,0.4616,0.418,0.3991,0.3867,0.4076,
,12,0.5073,0.4314,0.4265,0.4043,0.4119,
May,13,0.5611,0.4604,0.4627,0.4424,0.4221,
,14,0.6112,0.5068,0.5077,0.4833,0.4509,
,15,0.6505,0.5626,0.5602,0.5364,0.5071,
Jun,16,0.6785,0.6104,0.612,0.5965,0.5797,
,17,0.7008,0.6502,0.6559,0.6566,0.6373,
,18,0.719,0.6804,0.692,0.6969,0.6719,
Jul,19,0.731,0.7083,0.721,0.7199,0.7045,
,20,0.7418,0.7375,0.7446,0.7334,0.7354,
,21,0.7517,0.7617,0.7628,0.7464,0.7628,
Aug,22,0.7681,0.7747,0.7804,0.7589,0.7795,
,23,0.7862,0.7789,0.7933,0.762,0.7876,
,24,0.7937,0.7797,0.8016,0.7574,0.793,
Sep,25,0.7855,0.7795,0.7985,0.7576,0.791,
,26,0.7634,0.7745,0.7879,0.7497,0.7778,
,27,0.7329,0.7572,0.7651,0.7506,,
Oct,28,0.704,0.7281,0.7306,0.7315,,
,29,0.6736,0.6923,0.6831,0.6916,,
,30,0.6376,0.654,0.6266,0.6435,,
Nov,31,0.5941,0.6117,0.5662,0.5949,,
,32,0.5436,0.5657,0.5081,0.5463,,
,33,0.4949,0.5135,0.4582,0.4969,,
Dec,34,0.4496,0.46,0.4179,0.4442,,
,35,0.4108,0.4131,0.3867,0.3942,,
,36,0.3832,0.3774,0.3664,0.3571,
