Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3646,0.3734,0.3597,0.3594,0.3424,
,2,0.3507,0.355,0.3252,0.3608,0.3343,
,3,0.3532,0.3585,0.3157,0.3703,0.3447,
Feb,4,0.3644,0.3712,0.3229,0.3814,0.3585,
,5,0.3822,0.3873,0.3343,0.3937,0.3751,
,6,0.3999,0.4001,0.3401,0.4059,0.3981,
Mar,7,0.4175,0.4114,0.3448,0.4172,0.4335,
,8,0.4397,0.4253,0.3519,0.4224,0.4776,
,9,0.4652,0.4389,0.3796,0.4293,0.5156,
Apr,10,0.5023,0.4506,0.4289,0.4397,0.5378,
,11,0.5569,0.4677,0.494,0.4562,0.5465,
,12,0.6248,0.4921,0.5657,0.4829,0.5578,
May,13,0.6929,0.5334,0.6398,0.5431,0.5816,
,14,0.7495,0.5891,0.6995,0.5891,0.6171,
,15,0.786,0.6455,0.7446,0.6329,0.6796,
Jun,16,0.8047,0.6938,0.7747,0.6735,0.7358,
,17,0.812,0.7328,0.7914,0.7169,0.7665,
,18,0.8131,0.7614,0.8001,0.759,0.7796,
Jul,19,0.8082,0.7819,0.807,0.7872,0.7853,
,20,0.8037,0.7979,0.8076,0.7959,0.7942,
,21,0.8001,0.8108,0.8107,0.7961,0.7971,
Aug,22,0.8032,0.8208,0.8146,0.7925,0.8015,
,23,0.8078,0.8255,0.824,0.7842,0.8093,
,24,0.8059,0.8253,0.8285,0.7643,0.8141,
Sep,25,0.7932,0.8177,0.8216,0.7468,0.8101,
,26,0.7708,0.8031,0.802,0.7375,0.7899,
,27,0.7428,0.778,0.7731,0.7568,,
Oct,28,0.7149,0.7508,0.7385,0.7599,,
,29,0.6891,0.7245,0.7041,0.7358,,
,30,0.6654,0.7013,0.6732,0.7045,,
Nov,31,0.6412,0.679,0.642,0.6707,,
,32,0.6126,0.6496,0.6035,0.6368,,
,33,0.5745,0.6069,0.5517,0.5872,,
Dec,34,0.524,0.5495,0.4871,0.525,,
,35,0.4678,0.4833,0.4251,0.4479,,
,36,0.4149,0.4162,0.3794,0.3808,
