Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5115,0.4956,0.4656,0.4626,0.4663,
,2,0.4793,0.4637,0.435,0.4429,0.4352,
,3,0.466,0.4476,0.4213,0.4384,0.4228,
Feb,4,0.4717,0.4464,0.426,0.4461,0.4226,
,5,0.4955,0.4634,0.4318,0.4611,0.4343,
,6,0.5252,0.499,0.4387,0.4798,0.4688,
Mar,7,0.5604,0.5445,0.4593,0.496,0.525,
,8,0.6005,0.6011,0.5058,0.5027,0.6068,
,9,0.6453,0.6483,0.569,0.5125,0.6803,
Apr,10,0.6862,0.6777,0.6446,0.5233,0.7215,
,11,0.726,0.6971,0.7051,0.5433,0.7395,
,12,0.7614,0.7216,0.7467,0.5692,0.7485,
May,13,0.7951,0.7491,0.7821,0.7103,0.7572,
,14,0.821,0.7769,0.8092,0.7712,0.7685,
,15,0.8363,0.7937,0.8179,0.796,0.7916,
Jun,16,0.8365,0.7987,0.8058,0.7989,0.8172,
,17,0.8228,0.7909,0.7916,0.7956,0.8278,
,18,0.8066,0.7862,0.7926,0.7945,0.8269,
Jul,19,0.7918,0.7885,0.8077,0.8012,0.8134,
,20,0.7866,0.7978,0.8234,0.8089,0.7944,
,21,0.787,0.8072,0.8219,0.8143,0.7754,
Aug,22,0.7964,0.8151,0.8108,0.8161,0.771,
,23,0.808,0.8221,0.8071,0.8105,0.7838,
,24,0.8185,0.8266,0.8112,0.8,0.8016,
Sep,25,0.813,0.8243,0.8136,0.7879,0.7916,
,26,0.7962,0.8132,0.8104,0.7778,0.7886,
,27,0.7731,0.7956,0.7944,0.7775,,
Oct,28,0.7544,0.7736,0.7735,0.7756,,
,29,0.7392,0.7482,0.7501,0.7629,,
,30,0.7275,0.7276,0.7305,0.748,,
Nov,31,0.7137,0.7096,0.7105,0.7309,,
,32,0.6935,0.6914,0.6879,0.7093,,
,33,0.6659,0.6633,0.6543,0.6728,,
Dec,34,0.6293,0.6225,0.6081,0.6245,,
,35,0.5863,0.5685,0.5527,0.5632,,
,36,0.5403,0.5128,0.5008,0.5081,
