Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4769,0.4518,0.4537,0.43,0.4045,
,2,0.4471,0.4172,0.4181,0.411,0.3818,
,3,0.4316,0.4083,0.4049,0.4091,0.3843,
Feb,4,0.4359,0.4162,0.4137,0.4219,0.3948,
,5,0.4614,0.4419,0.4265,0.4436,0.4128,
,6,0.4998,0.4741,0.4432,0.4666,0.4497,
Mar,7,0.5393,0.5163,0.4751,0.4921,0.5105,
,8,0.5838,0.5726,0.5248,0.5182,0.6001,
,9,0.6231,0.6328,0.5886,0.5487,0.6788,
Apr,10,0.6623,0.6828,0.6582,0.5811,0.7239,
,11,0.7078,0.729,0.7191,0.6149,0.7451,
,12,0.7583,0.7659,0.7632,0.6496,0.764,
May,13,0.8011,0.7944,0.7992,0.7501,0.7841,
,14,0.8299,0.8077,0.8222,0.7993,0.7971,
,15,0.8396,0.8097,0.8288,0.8231,0.8049,
Jun,16,0.8358,0.8057,0.8182,0.8232,0.8094,
,17,0.8122,0.8005,0.8032,0.8156,0.8109,
,18,0.7819,0.8035,0.7927,0.8085,0.8072,
Jul,19,0.757,0.8057,0.799,0.8085,0.8014,
,20,0.7541,0.8064,0.8108,0.8113,0.7945,
,21,0.7693,0.802,0.8178,0.815,0.7859,
Aug,22,0.7914,0.7985,0.8083,0.8148,0.7806,
,23,0.8014,0.8021,0.7997,0.8059,0.7828,
,24,0.8055,0.8091,0.7954,0.7915,0.7944,
Sep,25,0.7987,0.8113,0.7961,0.7764,0.7915,
,26,0.7895,0.7961,0.7943,0.7684,0.7862,
,27,0.7771,0.7681,0.7821,0.7765,,
Oct,28,0.7652,0.7357,0.7647,0.7822,,
,29,0.7504,0.7109,0.7453,0.7708,,
,30,0.7375,0.7018,0.7292,0.7553,,
Nov,31,0.7219,0.6977,0.7109,0.7344,,
,32,0.7003,0.6919,0.6848,0.7108,,
,33,0.6702,0.6655,0.6437,0.6685,,
Dec,34,0.6268,0.6234,0.5885,0.6105,,
,35,0.5713,0.5656,0.5282,0.5321,,
,36,0.5091,0.5059,0.4696,0.4582,
