Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5029,0.4825,0.4873,0.4811,0.4469,
,2,0.4655,0.4425,0.4367,0.4453,0.4139,
,3,0.4358,0.4193,0.4074,0.4248,0.3967,
Feb,4,0.4203,0.4082,0.4,0.4238,0.3874,
,5,0.4327,0.4189,0.4,0.4376,0.3867,
,6,0.4701,0.4473,0.4062,0.4577,0.3997,
Mar,7,0.5239,0.4938,0.4309,0.4854,0.4522,
,8,0.5857,0.561,0.4807,0.5149,0.5404,
,9,0.6381,0.632,0.549,0.545,0.625,
Apr,10,0.6792,0.6857,0.6238,0.577,0.686,
,11,0.7219,0.7344,0.6857,0.6071,0.7123,
,12,0.7668,0.7718,0.7334,0.6423,0.7375,
May,13,0.8109,0.8006,0.7767,0.7555,0.7602,
,14,0.8377,0.814,0.8113,0.8044,0.7725,
,15,0.8427,0.8161,0.8265,0.8274,0.7788,
Jun,16,0.8403,0.8106,0.8134,0.8247,0.7868,
,17,0.8324,0.8025,0.7845,0.8135,0.8008,
,18,0.8245,0.803,0.7586,0.805,0.8136,
Jul,19,0.8161,0.806,0.7631,0.8066,0.8188,
,20,0.8107,0.8105,0.7867,0.8113,0.8163,
,21,0.8078,0.8118,0.8101,0.8085,0.8072,
Aug,22,0.8042,0.8117,0.8078,0.7945,0.7953,
,23,0.7985,0.814,0.805,0.7694,0.7849,
,24,0.7904,0.8159,0.8025,0.7401,0.7908,
Sep,25,0.782,0.8132,0.8049,0.7225,0.7816,
,26,0.7712,0.7989,0.8025,0.7255,0.7705,
,27,0.7564,0.7795,0.7912,0.7586,,
Oct,28,0.741,0.7603,0.7729,0.7845,,
,29,0.7279,0.7482,0.754,0.7809,,
,30,0.7204,0.741,0.737,0.7725,,
Nov,31,0.715,0.7326,0.7184,0.7519,,
,32,0.7053,0.7196,0.6961,0.7252,,
,33,0.6849,0.6961,0.666,0.684,,
Dec,34,0.6478,0.66,0.6268,0.6303,,
,35,0.5967,0.6101,0.5808,0.5664,,
,36,0.54,0.5486,0.5275,0.499,
