Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3831,0.3934,0.4249,0.3931,0.3837,
,2,0.3621,0.3725,0.3872,0.3685,0.362,
,3,0.3561,0.3686,0.3682,0.3562,0.3588,
Feb,4,0.3507,0.3678,0.3651,0.3545,0.3541,
,5,0.3524,0.3706,0.3559,0.3608,0.3485,
,6,0.3629,0.3745,0.3445,0.3696,0.341,
Mar,7,0.3779,0.3896,0.3329,0.3814,0.3709,
,8,0.4038,0.4199,0.3422,0.3848,0.426,
,9,0.4382,0.4603,0.3817,0.3871,0.481,
Apr,10,0.4863,0.5089,0.4501,0.3911,0.5376,
,11,0.5449,0.567,0.5309,0.3985,0.5803,
,12,0.616,0.6258,0.6167,0.4138,0.6351,
May,13,0.686,0.6838,0.6932,0.5375,0.6846,
,14,0.7401,0.7314,0.7435,0.6304,0.7157,
,15,0.7725,0.7571,0.7641,0.7093,0.7392,
Jun,16,0.7891,0.7684,0.7546,0.7424,0.7511,
,17,0.7901,0.7699,0.7363,0.7521,0.7627,
,18,0.7819,0.7737,0.7223,0.7518,0.7809,
Jul,19,0.7695,0.772,0.7377,0.7563,0.7964,
,20,0.7598,0.7741,0.7672,0.7622,0.802,
,21,0.7563,0.7794,0.7854,0.7649,0.793,
Aug,22,0.7603,0.786,0.7906,0.7677,0.7775,
,23,0.7692,0.7894,0.7914,0.7676,0.7692,
,24,0.7753,0.7854,0.787,0.7691,0.7711,
Sep,25,0.7731,0.7707,0.7795,0.7724,0.7789,
,26,0.7603,0.7472,0.7658,0.7661,0.7806,
,27,0.7424,0.7186,0.7398,0.7592,,
Oct,28,0.7239,0.69,0.7095,0.7449,,
,29,0.7052,0.669,0.6771,0.7234,,
,30,0.6859,0.6562,0.6511,0.7011,,
Nov,31,0.6636,0.6471,0.6296,0.6798,,
,32,0.6353,0.6379,0.6071,0.6531,,
,33,0.5969,0.6197,0.575,0.614,,
Dec,34,0.5459,0.5872,0.5323,0.5629,,
,35,0.488,0.5385,0.4805,0.4987,,
,36,0.4344,0.4792,0.4311,0.4303,
