Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4191,0.4118,0.4317,0.412,0.3888,
,2,0.3883,0.3772,0.3906,0.3793,0.3585,
,3,0.3757,0.3672,0.3714,0.3673,0.3526,
Feb,4,0.3752,0.3703,0.3744,0.3755,0.3536,
,5,0.3928,0.3872,0.3784,0.3976,0.361,
,6,0.4204,0.4106,0.3805,0.42,0.3701,
Mar,7,0.4513,0.4439,0.3891,0.4435,0.4198,
,8,0.486,0.4948,0.421,0.4589,0.4913,
,9,0.5223,0.5543,0.4814,0.4721,0.5505,
Apr,10,0.5642,0.6105,0.5561,0.4853,0.6017,
,11,0.6211,0.6666,0.6322,0.4996,0.6328,
,12,0.6912,0.7114,0.7005,0.522,0.6754,
May,13,0.7624,0.749,0.7549,0.652,0.7142,
,14,0.8046,0.7791,0.7901,0.7266,0.7382,
,15,0.816,0.7952,0.8038,0.7772,0.7532,
Jun,16,0.8165,0.8021,0.7906,0.7915,0.7633,
,17,0.8091,0.7974,0.7653,0.7902,0.7808,
,18,0.8034,0.7962,0.7488,0.7823,0.8012,
Jul,19,0.7963,0.7932,0.7549,0.7767,0.8155,
,20,0.791,0.7952,0.7754,0.7773,0.8168,
,21,0.786,0.7994,0.7885,0.7784,0.8085,
Aug,22,0.7824,0.8035,0.7889,0.7791,0.7953,
,23,0.7802,0.8076,0.7925,0.7718,0.7889,
,24,0.7784,0.8068,0.7952,0.7631,0.7927,
Sep,25,0.7717,0.7977,0.7918,0.7636,0.7924,
,26,0.7602,0.7779,0.7804,0.7615,0.7778,
,27,0.7437,0.7533,0.7632,0.7706,,
Oct,28,0.726,0.7287,0.744,0.7664,,
,29,0.7051,0.7129,0.7219,0.7448,,
,30,0.6877,0.7029,0.6984,0.7183,,
Nov,31,0.6746,0.6935,0.6728,0.6987,,
,32,0.6609,0.6783,0.6449,0.6825,,
,33,0.6372,0.6508,0.6118,0.6498,,
Dec,34,0.5945,0.6098,0.5698,0.5987,,
,35,0.5342,0.5562,0.518,0.5264,,
,36,0.4691,0.4912,0.4601,0.4476,
