Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3685,0.3579,0.3888,0.3573,0.3272,
,2,0.3481,0.34,0.3556,0.341,0.3155,
,3,0.3421,0.3389,0.3399,0.3288,0.3199,
Feb,4,0.3394,0.3383,0.3369,0.3229,0.3273,
,5,0.345,0.3429,0.3304,0.3232,0.3323,
,6,0.352,0.3509,0.3194,0.3259,0.3438,
Mar,7,0.3578,0.376,0.3155,0.3318,0.3614,
,8,0.3783,0.4208,0.3296,0.3336,0.4022,
,9,0.4149,0.4786,0.3632,0.3399,0.4519,
Apr,10,0.4718,0.5301,0.4167,0.3516,0.4958,
,11,0.5482,0.5813,0.4836,0.3701,0.5186,
,12,0.6383,0.621,0.5577,0.4039,0.5504,
May,13,0.7129,0.6595,0.6366,0.5693,0.5928,
,14,0.7645,0.6964,0.7085,0.6665,0.6437,
,15,0.7896,0.7286,0.7565,0.7281,0.7023,
Jun,16,0.7999,0.7478,0.7821,0.7455,0.7484,
,17,0.7968,0.7574,0.7923,0.7468,0.78,
,18,0.787,0.7669,0.7923,0.7429,0.7979,
Jul,19,0.7724,0.7735,0.8025,0.745,0.8028,
,20,0.7679,0.7842,0.8102,0.7514,0.8041,
,21,0.7767,0.7934,0.8134,0.7627,0.8005,
Aug,22,0.7907,0.7969,0.7986,0.7702,0.7931,
,23,0.7953,0.7956,0.7911,0.7673,0.7836,
,24,0.7882,0.7878,0.7847,0.759,0.783,
Sep,25,0.7695,0.7724,0.7812,0.7531,0.7709,
,26,0.7445,0.7471,0.7673,0.7457,0.7547,
,27,0.7164,0.7157,0.7445,0.745,,
Oct,28,0.6931,0.6845,0.7095,0.7341,,
,29,0.6712,0.6583,0.6707,0.7088,,
,30,0.6517,0.6382,0.6316,0.6776,,
Nov,31,0.6308,0.6203,0.5874,0.6456,,
,32,0.6027,0.6016,0.5427,0.6109,,
,33,0.564,0.5748,0.4962,0.5623,,
Dec,34,0.5109,0.5385,0.4515,0.5027,,
,35,0.4512,0.4912,0.4133,0.4302,,
,36,0.3975,0.437,0.3812,0.3654,
