Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3773,0.3608,0.3696,0.3542,0.3514,
,2,0.349,0.3427,0.3437,0.36,0.3386,
,3,0.3453,0.3541,0.342,0.3778,0.3502,
Feb,4,0.3611,0.3757,0.3589,0.3991,0.3737,
,5,0.3908,0.406,0.3752,0.4228,0.4019,
,6,0.4225,0.4372,0.3834,0.4428,0.445,
Mar,7,0.4542,0.4738,0.388,0.4567,0.4964,
,8,0.4851,0.5183,0.4027,0.4577,0.5551,
,9,0.5141,0.5605,0.4382,0.4639,0.605,
Apr,10,0.5434,0.5862,0.496,0.4776,0.6354,
,11,0.5839,0.607,0.566,0.5026,0.652,
,12,0.637,0.6284,0.6429,0.5453,0.6653,
May,13,0.7001,0.6606,0.7188,0.6374,0.6768,
,14,0.755,0.7022,0.7765,0.6847,0.6908,
,15,0.7969,0.7345,0.808,0.712,0.718,
Jun,16,0.8123,0.7553,0.8172,0.7273,0.7493,
,17,0.8089,0.7693,0.8074,0.7431,0.7756,
,18,0.7956,0.7829,0.8015,0.7636,0.7947,
Jul,19,0.788,0.7941,0.8046,0.7818,0.7962,
,20,0.7894,0.8044,0.8164,0.791,0.7894,
,21,0.7973,0.8125,0.8197,0.797,0.7806,
Aug,22,0.8046,0.8167,0.8188,0.8037,0.7789,
,23,0.8098,0.8184,0.8184,0.8011,0.7863,
,24,0.8107,0.8143,0.8141,0.7839,0.7997,
Sep,25,0.8013,0.8042,0.8014,0.7513,0.7854,
,26,0.7786,0.7839,0.7846,0.7324,0.7645,
,27,0.7459,0.7556,0.7602,0.7427,,
Oct,28,0.7126,0.7244,0.7315,0.7486,,
,29,0.6838,0.6931,0.7021,0.7295,,
,30,0.6615,0.6676,0.6739,0.6997,,
Nov,31,0.6414,0.6454,0.6422,0.6667,,
,32,0.6155,0.6211,0.6031,0.6334,,
,33,0.5784,0.5867,0.5492,0.5868,,
Dec,34,0.5273,0.5402,0.482,0.5284,,
,35,0.4663,0.4813,0.4184,0.456,,
,36,0.4068,0.4196,0.373,0.392,
