Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5038,0.4862,0.4599,0.4525,0.466,
,2,0.4696,0.458,0.4306,0.4312,0.4352,
,3,0.4529,0.4478,0.4175,0.4249,0.4213,
Feb,4,0.4549,0.4534,0.4229,0.4297,0.4196,
,5,0.472,0.4731,0.4303,0.4414,0.4257,
,6,0.5011,0.5062,0.4388,0.4574,0.4563,
Mar,7,0.5416,0.5487,0.4634,0.4775,0.5047,
,8,0.5872,0.6031,0.5111,0.493,0.5819,
,9,0.6344,0.65,0.5748,0.5092,0.6575,
Apr,10,0.678,0.6842,0.647,0.523,0.6994,
,11,0.7221,0.7122,0.705,0.5372,0.7237,
,12,0.7638,0.7417,0.7432,0.5503,0.7424,
May,13,0.8037,0.7693,0.7751,0.6858,0.7624,
,14,0.8282,0.7882,0.8019,0.7604,0.7805,
,15,0.8405,0.7932,0.817,0.8015,0.8006,
Jun,16,0.8398,0.7861,0.817,0.8115,0.8139,
,17,0.8228,0.77,0.8094,0.8102,0.8151,
,18,0.8013,0.7696,0.8068,0.8031,0.8111,
Jul,19,0.7783,0.7815,0.8084,0.8013,0.8016,
,20,0.7693,0.8002,0.808,0.8053,0.7876,
,21,0.7734,0.809,0.8018,0.8155,0.7724,
Aug,22,0.7866,0.8158,0.7942,0.8242,0.7673,
,23,0.8025,0.819,0.7988,0.821,0.7772,
,24,0.8175,0.8218,0.8102,0.8113,0.7959,
Sep,25,0.8177,0.8171,0.8143,0.7976,0.784,
,26,0.8034,0.8049,0.8088,0.7857,0.7821,
,27,0.779,0.7865,0.7933,0.7835,,
Oct,28,0.7546,0.7655,0.7718,0.7791,,
,29,0.7345,0.7434,0.7486,0.7654,,
,30,0.7211,0.7244,0.7286,0.7511,,
Nov,31,0.7086,0.7058,0.7079,0.7361,,
,32,0.6905,0.6861,0.6835,0.7174,,
,33,0.6646,0.6554,0.6481,0.6822,,
Dec,34,0.6275,0.6136,0.6004,0.634,,
,35,0.581,0.5602,0.5441,0.5714,,
,36,0.5317,0.5058,0.4906,0.5128,
