Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4333,0.4082,0.3958,0.3786,0.376,
,2,0.3937,0.3791,0.3668,0.3676,0.352,
,3,0.3785,0.3772,0.3637,0.3818,0.3601,
Feb,4,0.3913,0.3949,0.3834,0.4098,0.3841,
,5,0.4286,0.431,0.4076,0.4439,0.4201,
,6,0.4736,0.4783,0.4273,0.4772,0.4695,
Mar,7,0.5211,0.5255,0.4484,0.4987,0.5315,
,8,0.5648,0.5768,0.4853,0.5075,0.6042,
,9,0.6002,0.6176,0.5399,0.5202,0.6622,
Apr,10,0.6347,0.6395,0.6103,0.5375,0.6926,
,11,0.6745,0.656,0.6787,0.5663,0.7053,
,12,0.72,0.6769,0.734,0.6103,0.7127,
May,13,0.7693,0.71,0.7774,0.7035,0.7223,
,14,0.8041,0.7498,0.8064,0.7506,0.7364,
,15,0.8227,0.7805,0.819,0.7705,0.7658,
Jun,16,0.8279,0.7938,0.8185,0.7738,0.7984,
,17,0.8239,0.7921,0.807,0.7745,0.8176,
,18,0.8184,0.7874,0.8045,0.7802,0.8257,
Jul,19,0.8124,0.7909,0.8103,0.7938,0.819,
,20,0.8075,0.8033,0.8217,0.8007,0.8057,
,21,0.8026,0.8179,0.823,0.8061,0.7934,
Aug,22,0.8054,0.8237,0.8194,0.8043,0.7935,
,23,0.8129,0.8251,0.8179,0.7912,0.8069,
,24,0.8213,0.8244,0.8184,0.7633,0.8168,
Sep,25,0.8161,0.8212,0.816,0.7333,0.8123,
,26,0.7989,0.8088,0.8099,0.7247,0.7978,
,27,0.7738,0.788,0.7956,0.7531,,
Oct,28,0.7517,0.7611,0.7734,0.7726,,
,29,0.7318,0.7319,0.7454,0.7613,,
,30,0.7135,0.7081,0.7158,0.7365,,
Nov,31,0.6904,0.6891,0.6842,0.7055,,
,32,0.661,0.6666,0.6495,0.6746,,
,33,0.6225,0.632,0.6035,0.6304,,
Dec,34,0.574,0.5816,0.5437,0.572,,
,35,0.5187,0.5179,0.478,0.4999,,
,36,0.463,0.4509,0.4191,0.4277,
