Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4926,0.4702,0.4541,0.4325,0.4306,
,2,0.4593,0.4421,0.4216,0.4094,0.403,
,3,0.4414,0.4347,0.4098,0.4066,0.3967,
Feb,4,0.4432,0.4439,0.4196,0.4213,0.4001,
,5,0.4648,0.4684,0.4334,0.4427,0.4099,
,6,0.499,0.5009,0.448,0.4656,0.4437,
Mar,7,0.5414,0.5443,0.4798,0.4902,0.4978,
,8,0.5862,0.6005,0.5321,0.5098,0.5747,
,9,0.6264,0.6535,0.6006,0.5295,0.647,
Apr,10,0.6632,0.6963,0.6729,0.5485,0.6924,
,11,0.708,0.7326,0.7332,0.5694,0.7209,
,12,0.7552,0.7622,0.7694,0.5893,0.7472,
May,13,0.8012,0.787,0.7989,0.7284,0.7739,
,14,0.8308,0.8013,0.8174,0.7902,0.7915,
,15,0.8422,0.8052,0.8245,0.8195,0.8029,
Jun,16,0.8387,0.7974,0.814,0.8218,0.8086,
,17,0.8191,0.7787,0.8011,0.8161,0.8078,
,18,0.7908,0.7746,0.7974,0.8043,0.805,
Jul,19,0.7632,0.7809,0.8077,0.7968,0.8011,
,20,0.7496,0.7955,0.8182,0.7952,0.7957,
,21,0.7577,0.8001,0.8216,0.8037,0.7811,
Aug,22,0.7777,0.8029,0.81,0.8159,0.7733,
,23,0.8004,0.8044,0.8028,0.8192,0.7789,
,24,0.8154,0.8106,0.7995,0.8155,0.7968,
Sep,25,0.8106,0.8098,0.8001,0.8073,0.7861,
,26,0.7948,0.798,0.7972,0.7947,0.7946,
,27,0.772,0.7764,0.7853,0.7866,,
Oct,28,0.752,0.7509,0.7657,0.7766,,
,29,0.7333,0.7237,0.7443,0.7598,,
,30,0.7191,0.7064,0.7256,0.7465,,
Nov,31,0.7062,0.6924,0.7058,0.7319,,
,32,0.6893,0.681,0.6812,0.7139,,
,33,0.6644,0.6549,0.6444,0.675,,
Dec,34,0.6255,0.6159,0.5945,0.6207,,
,35,0.5748,0.5609,0.5349,0.5462,,
,36,0.5187,0.5035,0.4757,0.4797,
