"ADMIN2NAME","ADMIN2PCOD","ADMIN1NAME","ADMIN1PCOD","SS2008","CBR_2009","CBR_2010","CBR_2011","CBR_2012","CBR_2013","CBR_2014","CBR_2015","CBR_2016","CBR_2017","CBR_2018","CBR_2019","CBR_2020","CDR_2009","CDR_2010","CDR_2011","CDR_2012","CDR_2013","CDR_2014","CDR_2015","CDR_2016","CDR_2017","CDR_2018","CDR_2019","CDR_2020","INMIGRATION_2009","INMIGRATION_2010","INMIGRATION_2011","INMIGRATION_2012","INMIGRATION_2013","INMIGRATION_2014","INMIGRATION_2015","INMIGRATION_2016","INMIGRATION_2017","INMIGRATION_2018","INMIGRATION_2019","INMIGRATION_2020","OUTMIGRATION_2009","OUTMIGRATION_2010","OUTMIGRATION_2011","OUTMIGRATION_2012","OUTMIGRATION_2013","OUTMIGRATION_2014","OUTMIGRATION_2015","OUTMIGRATION_2016","OUTMIGRATION_2017","OUTMIGRATION_2018","OUTMIGRATION_2019","OUTMIGRATION_2020"
"Morobo","SS9205","Central Equatoria","SS92",103603,0.0540763,0.05263143,0.06454743,0.06211487,0.06028452,0.05716508,0.05608036,0.0544901,0.05416854,0.05292497,0.05026191,0.05000229,0.01852337,0.01777559,0.02148438,0.0203702,0.01947753,0.01820129,0.01760343,0.01687145,0.01655384,0.01597126,0.01498343,0.01479953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kajo-keji","SS9206","Central Equatoria","SS92",196422,0.0540737,0.05263682,0.06454149,0.06211442,0.06028777,0.05716017,0.05608006,0.05449704,0.05416769,0.0529194,0.05026239,0.05000766,0.01852248,0.0177774,0.0214824,0.02037006,0.01947858,0.01819972,0.01760333,0.0168736,0.01655358,0.01596958,0.01498357,0.01480112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lainya","SS9203","Central Equatoria","SS92",89315,0.05409267,0.05262861,0.06454756,0.06210717,0.06028373,0.05716052,0.05608691,0.05449353,0.05416972,0.05291913,0.05026074,0.05000904,0.01852897,0.01777463,0.02148442,0.02036768,0.01947727,0.01819984,0.01760548,0.01687251,0.0165542,0.01596949,0.01498308,0.01480153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yei","SS9204","Central Equatoria","SS92",201443,0.0540826,0.05263036,0.06454796,0.06211452,0.06028288,0.05715973,0.05608032,0.05449628,0.05416554,0.05292484,0.05026214,0.0500049,0.01852552,0.01777523,0.02148456,0.02037009,0.019477,0.01819959,0.01760341,0.01687336,0.01655293,0.01597122,0.0149835,0.0148003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juba","SS9202","Central Equatoria","SS92",372413,0.05408121,0.05263,0.06454714,0.06211506,0.06028202,0.05716327,0.05608068,0.05449588,0.05416445,0.05292247,0.05026332,0.05000606,0.01852505,0.0177751,0.02148428,0.02037027,0.01947672,0.01820071,0.01760353,0.01687324,0.01655259,0.0159705,0.01498385,0.01480065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terekeka","SS9201","Central Equatoria","SS92",140396,0.05408333,0.0526336,0.06453935,0.06211427,0.06028894,0.05716254,0.0560798,0.05449939,0.05416001,0.05292448,0.05025911,0.05000958,0.01852577,0.01777632,0.02148169,0.02037001,0.01947896,0.01820048,0.01760325,0.01687433,0.01655124,0.01597111,0.01498259,0.01480169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magwi","SS9308","Eastern Equatoria","SS93",169826,0.07606995,0.07140862,0.07532155,0.07356566,0.07118564,0.06937512,0.06811218,0.06640045,0.0655135,0.06367661,0.06141182,0.06039671,0.0260571,0.02411734,0.02507051,0.02412542,0.02299961,0.02208895,0.02138017,0.02055918,0.02002085,0.0192158,0.01830729,0.01787604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ikotos","SS9307","Eastern Equatoria","SS93",84649,0.07606827,0.07141279,0.07532638,0.07357518,0.07118127,0.06936798,0.0681181,0.0663968,0.06551142,0.06367649,0.06141582,0.06039946,0.02605652,0.02411875,0.02507211,0.02412855,0.02299819,0.02208667,0.02138203,0.02055805,0.02002022,0.01921576,0.01830848,0.01787685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kapoeta South","SS9305","Eastern Equatoria","SS93",79470,0.07606551,0.07141722,0.07532434,0.07356439,0.07118538,0.06936645,0.06811233,0.06641198,0.06550159,0.06368638,0.06140175,0.06039812,0.02605558,0.02412024,0.02507144,0.02412501,0.02299952,0.02208619,0.02138022,0.02056275,0.02001721,0.01921874,0.01830429,0.01787646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Budi","SS9306","Eastern Equatoria","SS93",99199,0.07606551,0.07141722,0.07531418,0.07356807,0.07118567,0.06937245,0.06811233,0.06639391,0.06552201,0.06368161,0.06140852,0.06039369,0.02605558,0.02412024,0.02506806,0.02412621,0.02299962,0.0220881,0.02138022,0.02055715,0.02002345,0.0192173,0.01830631,0.01787514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Torit","SS9301","Eastern Equatoria","SS93",99740,0.07606551,0.07141722,0.07531418,0.07356807,0.07118567,0.06937245,0.06811233,0.06640424,0.06551175,0.06368161,0.0611416,0.06065969,0.02605558,0.02412024,0.02506806,0.02412621,0.02299962,0.0220881,0.02138022,0.02056035,0.02002031,0.0192173,0.01822674,0.01795388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kapoeta North","SS9303","Eastern Equatoria","SS93",103084,0.07606425,0.07141984,0.07532345,0.07356696,0.07118743,0.06936175,0.06811619,0.06640665,0.065506,0.06368261,0.06140865,0.06039978,0.02605515,0.02412113,0.02507114,0.02412585,0.02300018,0.02208469,0.02138143,0.0205611,0.02001856,0.01921761,0.01830635,0.01787695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafon","SS9302","Eastern Equatoria","SS93",106161,0.07605964,0.07141498,0.07532712,0.07356963,0.07118325,0.06937359,0.06810833,0.0664036,0.06551612,0.06367424,0.06140675,0.06040225,0.02605357,0.02411949,0.02507236,0.02412673,0.02299883,0.02208846,0.02137896,0.02056016,0.02002165,0.01921508,0.01830578,0.01787768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kapoeta East","SS9304","Eastern Equatoria","SS93",163997,0.07605729,0.07141495,0.07532538,0.07356216,0.07119098,0.06936723,0.06811529,0.06640418,0.06550664,0.0636813,0.06140898,0.06039881,0.02605276,0.02411947,0.02507178,0.02412428,0.02300133,0.02208644,0.02138115,0.02056034,0.02001875,0.01921721,0.01830645,0.01787666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awerial","SS8408","Lakes","SS84",47041,0.05410099,0.05210684,0.08031984,0.07617311,0.07331929,0.06961685,0.06793608,0.06607844,0.06528855,0.06343452,0.06136036,0.06052426,0.01853182,0.01759841,0.02673417,0.02498052,0.02368898,0.02216591,0.02132489,0.02045948,0.01995211,0.01914274,0.01829195,0.01791379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yirol West","SS8406","Lakes","SS84",103190,0.05406793,0.05211237,0.0803315,0.07616869,0.07331112,0.0696347,0.06792581,0.06608406,0.06528742,0.06343673,0.06135671,0.06051944,0.0185205,0.01760028,0.02673805,0.02497907,0.02368634,0.0221716,0.02132167,0.02046122,0.01995176,0.01914341,0.01829086,0.01791236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wulu","SS8404","Lakes","SS84",40550,0.05406427,0.05211476,0.08032535,0.07616667,0.07330726,0.06964833,0.06791158,0.06609359,0.06528275,0.0634458,0.06135291,0.06052057,0.01851924,0.01760108,0.026736,0.02497841,0.02368509,0.02217594,0.02131721,0.02046417,0.01995033,0.01914614,0.01828973,0.0179127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
