datetime,timber_production,cereal_production,rainfall,temperature,latitude,longitude
2018-06-01,1598760,7938927,high,medium,9.293947655720299,43.03201913523198
2018-12-01,2013030,16177858,high,medium,11.094745656214513,37.138109384708606
2018-02-01,182811,28334553,high,medium,9.391006295305973,41.972203184689334
2018-03-01,2433629,26175880,high,medium,5.61358084616244,43.848340769364555
2018-08-01,1078008,28136647,high,medium,4.17250349761673,39.03219495726006
2018-06-01,1407724,3923686,high,medium,8.225774298348853,44.020674845918464
2018-10-01,1080107,19281812,high,medium,8.471763291979922,37.53137816143165
2018-10-01,1983486,9451804,high,medium,11.123335926676624,38.23492529461784
2018-02-01,2061844,12051539,high,medium,10.370709383330759,34.885057703761625
2018-04-01,967590,11274764,high,medium,9.412447125656493,37.04294914928466
2018-06-01,503395,28487379,high,medium,11.307389380909513,39.0379790114005
2018-07-01,638902,5855658,high,medium,8.035446822192284,45.506948344645274
2018-11-01,2682297,25168680,high,medium,7.818651015336224,33.577948670372955
2018-11-01,2133461,22874215,high,medium,6.2543632302469465,40.2770455288847
2018-09-01,705647,15227289,high,medium,8.941394638765583,44.1082820368089
2018-03-01,877468,29300403,high,medium,4.416899714982416,40.71747412258339
2018-06-01,262370,11832803,high,medium,10.51997771728304,42.19319003976447
2018-12-01,1550966,23301770,high,medium,14.223174229112246,36.58099538416199
2018-10-01,2073356,17106212,high,medium,8.693210546955205,39.051677683471574
2018-02-01,2309596,23838660,high,medium,13.208615630098631,39.46441765181284
2018-11-01,2761269,7488766,high,medium,8.620128913751454,43.66268479194617
2018-04-01,948094,13266057,high,medium,8.572690553130109,43.02095428555199
2018-08-01,1657655,10107072,high,medium,4.707554375711015,38.255769994127334
2018-10-01,2972370,25415853,high,medium,4.552682042557783,40.28514569513048
2018-04-01,1213614,12238171,high,medium,7.638663232681564,42.386634805146805
2018-07-01,585370,9978807,high,medium,5.747602445549106,37.420312466310705
2018-07-01,2162710,14254737,high,medium,4.6349489887032,38.21169104299652
2018-10-01,1138829,18782373,high,medium,5.392136079209347,38.629064734136
