datetime,timber_production,cereal_production,rainfall,temperature,latitude,longitude
2018-07-01,1631092,17623423,low,low,5.380660063788333,44.29426445175951
2018-07-01,1269885,21939341,low,low,11.70878483638814,37.876398797154174
2018-06-01,1513134,3181744,low,low,10.28858387385397,36.64413718572013
2018-03-01,790281,203923,low,low,12.870728275792068,41.28074934746649
2018-01-01,1833362,21135707,low,low,9.712244860719242,40.815846889814225
2018-12-01,1618643,5364992,low,low,13.399947388862481,38.065196283776004
2018-12-01,1539817,17130878,low,low,11.524123896285765,37.83018024582285
2018-11-01,300416,28810611,low,low,11.265559954208172,35.298732875367506
2018-09-01,1532644,13850434,low,low,6.543534444851906,37.42907323345784
2018-12-01,2162499,14192671,low,low,13.914577942862373,39.192018999269
2018-03-01,1057982,9800897,low,low,14.050195144829107,36.805901202681966
2018-02-01,1994614,26603751,low,low,4.938581484382677,36.322489773269226
2018-09-01,2421529,24533534,low,low,9.344338659876271,38.941918708031544
2018-06-01,159889,19332127,low,low,7.714184198151744,46.68877646888775
2018-01-01,718311,19869050,low,low,4.166876518890206,41.763699885294585
2018-08-01,2170308,12585581,low,low,6.340493861452815,42.868105351761585
2018-04-01,715661,24065187,low,low,8.219230217334275,34.20596190357917
2018-10-01,340647,6875683,low,low,5.9436300152681625,38.146489294995284
2018-04-01,2004085,25473337,low,low,7.462698906281972,41.39735932355116
2018-01-01,1099957,10130234,low,low,8.4144841604611,39.75151595819654
2018-08-01,766981,9993743,low,low,9.200400417901253,35.83024596263326
2018-12-01,2870569,5521055,low,low,6.959029900805625,35.184565235074075
2018-12-01,2198802,23598852,low,low,8.070085113583227,38.779722648433825
2018-08-01,851632,2968943,low,low,10.226335818768298,35.56103230079998
2018-07-01,1862056,8487250,low,low,5.685545750221845,43.113202394855584
2018-07-01,2912733,13258635,low,low,13.330201073462185,40.81428024128667
2018-10-01,451519,18847062,low,low,8.928492250929533,43.525798115346106
2018-02-01,917315,9484334,low,low,12.080806823249771,41.38900567409952
2018-01-01,440168,21410426,low,low,6.976336002143796,46.76116599456592
2018-07-01,1135004,12104689,low,low,9.364898880945585,38.50978587698595
2018-01-01,1223824,2501449,low,low,5.219262698769901,44.726296927951935
2018-07-01,104375,795141,low,low,5.62665117068266,42.13782531150428
2018-10-01,478341,17185478,low,low,8.776453109593799,40.49723200500852
2018-08-01,1374113,29633366,low,low,10.749496127547022,39.37696289928626
2018-03-01,2718568,22048774,low,low,8.565333222261,44.22572163546619
2018-03-01,1643506,13197902,low,low,12.216638489409291,37.87905016806938
2018-10-01,2965054,10109644,low,low,6.607414950882902,37.309036340545404
2018-06-01,1687137,7911885,low,low,9.143215570845292,34.4305560939079
2018-05-01,2023212,17866415,low,low,6.360206253506118,40.78701992457907
2018-03-01,809805,18381275,low,low,11.333888888536755,41.2067908228401
2018-10-01,2010126,11537079,low,low,7.090759968159244,44.90982862637165
2018-07-01,819583,21739531,low,low,4.914170030609241,36.80805604466501
2018-08-01,490421,6103873,low,low,12.013795465300026,37.958606891715704
2018-11-01,1488275,21777874,low,low,12.460619798436204,41.56072906963248
2018-02-01,630795,12429970,low,low,7.755544780995672,36.32198570048046
2018-05-01,1784565,11172636,low,low,7.300601285970776,39.771626149683264
2018-11-01,1058043,8529754,low,low,4.724972935909806,39.86012809132308
2018-08-01,1057699,15107688,low,low,7.470067502470058,36.10088958729446
2018-01-01,2286656,10511337,low,low,9.769736580802018,36.78104563225815
2018-12-01,2580357,11366400,low,low,5.595152466744095,36.904850081135514
2018-04-01,2434334,3447145,low,low,9.330440463880954,40.57061620190441
2018-06-01,1507563,2001946,low,low,8.12624040780433,38.1523903630988
2018-11-01,531440,22217225,low,low,11.28700395627812,34.967267268869264
2018-03-01,1034640,9240065,low,low,8.492987327934452,41.66362468927171
2018-06-01,1922208,5980836,low,low,8.189747132898283,44.294848487857706
2018-07-01,293777,8293838,low,low,8.586981319433459,39.9356590680982
2018-02-01,2244425,3388941,low,low,6.8058342177036035,42.93288596979205
2018-08-01,2603678,23794156,low,low,6.736573494915025,38.64153002174703
2018-07-01,2915860,15527575,low,low,9.651049072711825,37.075000023544995
2018-04-01,814390,16568251,low,low,11.869405121674484,41.60666546088318
2018-03-01,2714804,10790381,low,low,10.8865910431047,37.00159109361204
2018-11-01,2826410,21103645,low,low,5.96974969015668,37.31588083311439
2018-09-01,828000,21748249,low,low,5.636625307008497,36.26110423539173
2018-04-01,2406694,21090728,low,low,7.558924815379918,43.328344057319605
2018-02-01,1681690,27843571,low,low,8.082521821738801,34.238684896901965
2018-04-01,1346848,17205657,low,low,4.973883374327564,43.818143013716195
2018-12-01,920299,15547982,low,low,7.222549738617056,36.90205584203321
2018-05-01,2561433,14473438,low,low,7.608376776965966,35.205265706016824
2018-03-01,2010682,6268485,low,low,6.332585640235828,39.36506788848972
2018-05-01,2914399,25980072,low,low,11.376303040643382,38.483380948903225
2018-10-01,1103415,15207661,low,low,9.54351936032565,42.012240408846765
2018-05-01,2396455,25752366,low,low,8.351810200049805,43.117782792639666
2018-07-01,1449190,24474745,low,low,11.707281785448,37.99147016170136
2018-01-01,358695,5438377,low,low,13.554214773957444,37.564813759296634
2018-04-01,1935478,528851,low,low,6.627135241475054,40.50556538513066
2018-11-01,1384520,3692765,low,low,4.609914635976019,40.97407430252437
2018-05-01,996679,9837903,low,low,10.639092347547576,35.020431189703366
2018-03-01,2384806,2334148,low,low,5.618040442481459,45.40391494775818
2018-01-01,124905,146381,low,low,10.652507824960068,37.43500786470913
2018-04-01,228298,24348661,low,low,6.602886377534217,37.447924136124996
2018-11-01,433745,20632285,low,low,5.774615550657154,38.47352172297747
2018-02-01,470343,14466216,low,low,9.750361493632763,43.068238532343706
2018-12-01,2124165,28751629,low,low,6.352794283479133,35.97212824613818
2018-06-01,580820,11632328,low,low,10.285218131187172,38.4999607237124
2018-07-01,2059079,21998904,low,low,6.202767069011401,40.03148157800352
2018-03-01,647961,3352303,low,low,7.254299433046398,47.02782599163717
2018-09-01,1060155,7925294,low,low,6.342911004304717,43.99443409516755
2018-11-01,380295,9985565,low,low,7.4583966931332695,43.272234776480175
