datetime,timber_production,cereal_production,rainfall,temperature,latitude,longitude
2018-02-01,2953595,29640777,medium,low,11.292375134254886,36.365632297975345
2018-02-01,1028685,23323781,medium,low,5.092969544307391,39.33662025496193
2018-08-01,2743555,5010564,medium,low,7.1295626473242635,41.020515431055955
2018-10-01,375896,5369735,medium,low,6.958318391617266,37.63017271062672
2018-09-01,257479,21539199,medium,low,5.923332198208755,41.93832045883731
2018-07-01,2348349,5939584,medium,low,12.91610867805485,40.17338314776454
2018-12-01,2202281,2389562,medium,low,7.290743218830149,38.12600469024532
2018-11-01,634634,21126090,medium,low,4.745327456495618,42.01347015446338
2018-11-01,2300239,14723134,medium,low,7.783191093899681,38.72325319244128
2018-02-01,2437300,6503415,medium,low,8.20690033884571,45.80035096276627
2018-09-01,837986,244094,medium,low,9.21834440784967,37.93319155768039
2018-09-01,2765483,3810758,medium,low,5.617627450434002,44.85513962761661
2018-06-01,427305,27067778,medium,low,5.840608573306162,40.06215699386005
2018-07-01,2847488,17149361,medium,low,13.823688259999061,36.9327784919504
2018-08-01,2366624,8080529,medium,low,4.421258186099118,38.02265019341409
2018-10-01,2614250,14891283,medium,low,7.96218231385069,43.384021190822686
2018-04-01,1011483,12387190,medium,low,4.258017499052159,37.341884790736124
2018-07-01,2751810,20688202,medium,low,9.844262185960112,42.52220964994609
2018-05-01,547932,7456257,medium,low,5.7558036949573,44.91454021810372
2018-08-01,1755858,1011153,medium,low,14.107084771493396,38.98672515642817
2018-12-01,2847779,12650719,medium,low,4.250679194320494,39.524849868145864
2018-09-01,361530,28181847,medium,low,12.059674342383962,36.36842402534489
2018-05-01,350807,1710912,medium,low,9.019300053231465,40.19661905676319
2018-01-01,187095,28326776,medium,low,8.255282265060016,44.13684851044591
2018-08-01,455287,8634456,medium,low,8.641109163686476,42.62255970513182
2018-03-01,1085805,14169034,medium,low,6.259367276137311,42.565310567123916
2018-12-01,2364543,7186502,medium,low,9.274519890448916,40.32080720476563
2018-03-01,1981913,16244044,medium,low,7.578182648293223,43.73441001738103
2018-02-01,2614949,18107699,medium,low,7.998682331968481,42.29791293147733
2018-04-01,2951437,23349377,medium,low,4.553201587967852,42.517989809153335
2018-08-01,214979,12646651,medium,low,4.988293325341827,37.14553616716329
2018-10-01,658422,4708841,medium,low,8.43028543194811,42.967460852745596
2018-12-01,2187665,1486463,medium,low,5.827316005177419,42.39042948437173
2018-08-01,2053922,17681412,medium,low,7.1043241790971425,42.05025021133447
2018-12-01,2869375,13324387,medium,low,9.398294681698447,34.50384243037182
2018-08-01,800549,1856684,medium,low,4.0070043062704634,41.40529808135145
2018-04-01,2869045,3350818,medium,low,6.023639307481639,37.02297817699791
2018-06-01,1338557,22957249,medium,low,4.929225533496362,37.481297734774294
2018-07-01,479003,22003900,medium,low,4.343135037267843,38.605608900025786
2018-01-01,1006097,769735,medium,low,3.8191063339790716,38.479475509738926
2018-02-01,452137,22007656,medium,low,7.76271245983907,36.09937738263821
2018-06-01,2442906,20854192,medium,low,6.5502751494724745,42.3484598233198
2018-03-01,1541135,4221648,medium,low,14.170263836514334,37.776375171458994
2018-11-01,1036989,28203689,medium,low,5.757536760728295,38.99729148991993
2018-03-01,230785,14278147,medium,low,3.8589619238247224,38.90429197877297
2018-07-01,451299,28255530,medium,low,10.245245584093373,42.63268807376511
2018-09-01,409508,23181581,medium,low,9.466430361561173,35.693472902287
2018-05-01,1074309,14118376,medium,low,5.846049613982284,45.46079050678381
2018-07-01,317268,17244124,medium,low,12.040738230421077,41.51618593516348
2018-02-01,735030,1753913,medium,low,9.947715027167874,37.8397499565183
2018-02-01,328188,639109,medium,low,7.326892708992279,46.9320427721584
2018-01-01,1821829,24429164,medium,low,7.984947495938346,42.89955689601075
2018-07-01,2593346,14606469,medium,low,4.9938862918585265,44.653646761596896
2018-06-01,495668,22041183,medium,low,9.371944756799762,38.14236869058348
2018-07-01,2101431,16504929,medium,low,7.434739057199477,45.201968594804086
2018-01-01,1214647,21866177,medium,low,13.096485601369782,37.96671328358339
2018-10-01,696319,17031329,medium,low,10.531617909656276,35.233351387024385
2018-09-01,1266766,1284699,medium,low,10.608508523242559,41.20948265032875
2018-09-01,560359,16938255,medium,low,13.107949622957488,38.27463595916086
2018-07-01,1409241,22824622,medium,low,7.7376410801688,46.57162716937758
